"12f5 -- 7. Workplace structure, 2010-2024"

"Postal code area","2020 Workplaces, total (TP)","2021 Workplaces, total (TP)","2022 Workplaces, total (TP)","2023 Workplaces, total (TP)","2024 Workplaces, total (TP)"
"45940  Oravala (Kouvola)",24,23,29,29,0
"46110  Tuohikotti (Kouvola)",46,52,53,55,0
"46140  Vekaranjärvi (Kouvola)",760,807,850,869,0
"46230  Aro (Kouvola)",70,77,67,68,0
"46400  Kaipiainen (Kouvola)",144,148,143,141,0
"46430  Tirva-Inkerilä (Kouvola)",36,42,42,43,0
"46450  Enäjärvi (Kouvola)",25,20,23,24,0
"46530  Kannuskoski (Luumäki)",19,21,17,13,0
"46570  Saaramaa (Kouvola)",5,5,5,4,0
"46710  Sippola (Kouvola)",212,192,179,183,0
"46730  Ruotila (Kouvola)",22,23,20,19,0
"46750  Liikkala (Kouvola)",47,48,42,41,0
"46800  Myllykoski (Kouvola)",636,675,687,643,0
"46810  Ummeljoki (Kouvola)",132,135,124,127,0
"46860  Anjalankoski Keskus (Kouvola)",420,419,427,348,0
"46900  Inkeroinen (Kouvola)",1008,1259,1246,1209,0
"46910  Anjala (Kouvola)",205,228,219,201,0
"46930  Huruksela (Kotka)",28,27,28,30,0
"46950  Ahvio (Kouvola)",7,10,10,10,0
"46960  Muhniemi (Kouvola)",36,33,28,29,0
"47110  Löytty (Kouvola)",8,7,8,8,0
"47150  Raussila (Kouvola)",53,58,57,54,0
"47200  Elimäki kk (Kouvola)",557,585,596,587,0
"47260  Ratula (Kouvola)",18,17,14,12,0
"47310  Haapa-Kimola (Iitti)",47,45,44,39,0
"47350  Kimonkylä (Lapinjärvi)",11,13,10,11,0
"47400  Kausala (Iitti)",1452,1478,1473,1429,0
"47440  Sääskjärvi (Iitti)",21,28,33,27,0
"47450  Perheniemi (Iitti)",48,45,42,45,0
"47460  Hiisiö (Iitti)",26,27,24,28,0
"47490  Mankala-Hiisiö (Iitti)",62,47,49,51,0
"47520  Iitti kk (Iitti)",13,15,27,29,0
"47540  Lyöttilä (Iitti)",26,32,28,24,0
"47610  Kymentaka (Iitti)",12,13,14,17,0
"47650  Kimola (Kouvola)",22,21,19,16,0
"47710  Jaala kk (Kouvola)",149,146,129,123,0
"47760  Huhdasjärvi (Kouvola)",13,15,18,17,0
"47810  Selänpää (Kouvola)",56,60,50,54,0
"47830  Hasula (Kouvola)",34,33,36,43,0
"47850  Verla (Kouvola)",4,6,6,8,0
"47900  Vuohijärvi (Kouvola)",114,121,120,104,0
"47910  Hillosensalmi (Kouvola)",8,6,5,5,0
"48100  Kotkansaari (Kotka)",5969,6042,6144,5968,0
"48130  Katariina (Kotka)",179,177,173,189,0
"48200  Hovinsaari (Kotka)",446,484,593,577,0
"48210  Toukolan Sairaala-Alue (Kotka)",2127,2194,2260,2386,0
"48220  Metsola (Kotka)",1238,1160,1138,1147,0
"48230  Korela-Jylppy (Kotka)",802,873,927,985,0
"48300  Ruonala (Kotka)",91,112,124,136,0
"48310  Mussalo (Kotka)",1149,1161,1174,1196,0
"48350  Karhuvuori (Kotka)",346,374,394,385,0
"48400  Sutela (Kotka)",875,910,988,893,0
"48410  Kaukola (Kotka)",163,164,144,147,0
"48600  Karhula (Kotka)",4622,4418,4331,4245,0
"48700  Kyminlinna (Kotka)",92,86,95,117,0
"48710  Koivula (Kotka)",73,87,61,65,0
"48720  Kymi (Kotka)",185,329,319,313,0
"48750  Nikeli (Kotka)",15,14,12,11,0
"48770  Ristinkallio (Kotka)",732,799,891,897,0
"48800  Otsola-Mäntykangas (Kotka)",104,119,107,114,0
"48810  Rantahaka (Kotka)",201,213,221,229,0
"48900  Sunila (Kotka)",378,409,436,308,0
"48910  Suulisniemi (Kotka)",87,93,91,97,0
"48930  Tiutinen (Kotka)",20,28,26,22,0
"49200  Heinlahti (Pyhtää)",92,79,72,71,0
"49210  Huutjärvi (Pyhtää)",213,207,195,220,0
"49220  Siltakylä (Pyhtää)",459,466,460,422,0
"49240  Purolanlahti (Pyhtää)",14,15,19,18,0
"49270  Pyhtää kk (Pyhtää)",94,110,100,97,0
"49290  Vastila (Pyhtää)",64,57,42,47,0
"49300  Tavastila (Kotka)",68,76,74,67,0
"49340  Juurikorpi (Kotka)",8,7,8,8,0
"49400  Hamina Keskus (Hamina)",3107,3079,3084,3046,0
"49410  Poitsila (Hamina)",298,325,331,307,0
"49420  Uusi-Summa (Hamina)",352,336,373,357,0
"49460  Hillo (Hamina)",1064,1138,1228,1236,0
"49480  Vanha-Summa (Hamina)",86,85,84,97,0
"49490  Neuvoton (Hamina)",243,244,236,242,0
"49510  Husula (Hamina)",83,79,95,97,0
"49520  Reitkalli (Hamina)",46,53,52,54,0
"49540  Metsäkylä (Hamina)",40,45,44,50,0
"49570  Kannusjärvi (Hamina)",45,49,39,40,0
"49610  Sivatti (Hamina)",4,3,4,6,0
"49630  Vehkajoki (Hamina)",32,34,43,46,0
"49640  Paijärvi (Hamina)",15,16,16,18,0
"49660  Pyhältö (Hamina)",65,64,65,64,0
"49700  Miehikkälä Kirkonkylä (Miehikkälä)",218,251,258,263,0
"49720  Hurttala (Miehikkälä)",4,2,1,1,0
"49730  Muurikkala (Miehikkälä)",43,41,38,39,0
"49750  Kalliokoski (Miehikkälä)",33,40,40,35,0
"49760  Suur-Miehikkälä (Miehikkälä)",26,20,31,26,0
"49770  Salo-Miehikkälä (Miehikkälä)",28,20,27,23,0
"49780  Onkamaa (Hamina)",9,8,9,9,0
"49840  Mäntlahti (Hamina)",2,4,4,3,0
"49860  Klamila (Virolahti)",79,71,71,66,0
"49900  Virolahti Keskus (Virolahti)",425,413,393,391,0
"49930  Vaalimaa (Virolahti)",473,461,422,382,0
"49960  Ala-Pihlaja (Virolahti)",22,27,30,25,0
"49980  Ravijoki (Virolahti)",68,74,74,81,0
"50100  Mikkeli Keskus (Mikkeli)",9559,10122,10075,9876,0
"50120  Siekkilä (Mikkeli)",201,241,210,223,0
"50130  Nuijamies (Mikkeli)",2046,2066,2133,2113,0
"50150  Tusku (Mikkeli)",1099,1229,1355,1452,0
"50160  Kattilansilta (Mikkeli)",50,59,60,65,0
"50170  Peitsari (Mikkeli)",985,1003,992,874,0
"50180  Visulahti (Mikkeli)",204,244,272,268,0
"50190  Tuppurala (Mikkeli)",677,714,774,759,0
"50200  Kovala (Mikkeli)",379,46,45,44,0
"50300  Rämälä (Mikkeli)",42,37,44,42,0
"50350  Norola (Mikkeli)",67,70,64,67,0
"50500  Tuukkala-Kaituenmäki (Mikkeli)",175,152,142,160,0
"50520  Moision Sairaala-alue (Mikkeli)",261,273,301,128,0
"50600  Karikko (Mikkeli)",1096,1055,1162,1138,0
"50670  Otava (Mikkeli)",372,359,346,370,0
"50700  Syysjärvi (Mikkeli)",245,169,189,186,0
"50770  Korpikoski (Mikkeli)",27,28,29,32,0
"50800  Annilanselkä (Mikkeli)",175,162,161,178,0
"50970  Ihastjärvi (Mikkeli)",209,196,212,208,0
"51130  Vanhamäki (Mikkeli)",25,26,26,14,0
"51200  Kangasniemi Keskus (Kangasniemi)",1206,1199,1261,1230,0
"51260  Tahkomäki (Kangasniemi)",21,16,27,26,0
"51270  Kutemajärvi (Kangasniemi)",25,28,26,30,0
"51310  Levä (Kangasniemi)",15,14,12,10,0
"51335  Kaihlamäki (Kangasniemi)",1,1,1,2,0
"51340  Hännilä-Särkiharju (Kangasniemi)",17,19,19,21,0
"51360  Koivula-Synsiö (Kangasniemi)",15,13,16,13,0
"51380  Synsiö (Kangasniemi)",3,3,3,3,0
"51420  Harjumaa-Pajulankylä (Mikkeli)",24,24,25,26,0
"51430  Läsäkoski (Kangasniemi)",13,10,13,11,0
"51440  Vuojalahti (Kangasniemi)",47,66,56,57,0
"51450  Pajulankylä (Mikkeli)",17,15,13,13,0
"51460  Luusniemi (Kangasniemi)",29,30,32,29,0
"51520  Hiirola (Mikkeli)",33,42,37,41,0
"51540  Kalvitsa (Mikkeli)",42,41,40,37,0
"51600  Haukivuori Keskus-Pitkäaho (Mikkeli)",284,294,297,297,0
"51620  Pitkäaho (Mikkeli)",0,2,0,0,0
"51670  Nykälä (Mikkeli)",16,14,15,14,0
"51720  Rahula (Mikkeli)",51,105,92,99,0
"51740  Huuhanaho (Mikkeli)",31,34,36,32,0
"51760  Nuutilanmäki (Juva)",75,79,77,79,0
"51780  Kuosmala (Juva)",13,11,10,11,0
"51810  Maivala (Juva)",52,50,32,36,0
"51820  Hatsola (Juva)",36,37,35,30,0
"51850  Vuorenmaa (Juva)",24,21,23,25,0
"51860  Narila (Juva)",9,9,9,13,0
"51880  Koikkala (Juva)",25,26,26,24,0
"51890  Risulahti (Juva)",32,31,33,33,0
"51900  Juva Keskus (Juva)",1266,1280,1298,1263,0
"51930  Paatela (Juva)",34,36,34,37,0
"51940  Härkälä (Juva)",10,11,8,8,0
"51980  Lauteala (Juva)",40,36,40,39,0
"52100  Anttola (Mikkeli)",174,169,177,163,0
"52110  Majavesi (Mikkeli)",36,44,46,49,0
"52150  Hauhala (Mikkeli)",9,13,12,10,0
"52200  Puumala Keskus (Puumala)",478,478,477,447,0
"52230  Hurissalo (Puumala)",48,49,49,40,0
"52270  Ryhälä (Puumala)",3,3,2,3,0
"52300  Ristiina Keskus (Mikkeli)",491,527,543,530,0
"52320  Vitsiälä (Mikkeli)",91,77,66,62,0
"52330  Heimari (Mikkeli)",2,4,3,4,0
"52340  Hangastenmaa (Mikkeli)",29,37,32,47,0
"52360  Someenjärvi (Mikkeli)",8,8,6,7,0
"52420  Pellosniemi (Mikkeli)",629,628,694,594,0
"52510  Hietanen (Hirvensalmi)",56,53,53,55,0
"52520  Syväsmäki (Hirvensalmi)",17,14,15,12,0
"52550  Hirvensalmi Keskus (Hirvensalmi)",403,389,379,339,0
"52610  Tuukkalanlahti (Hirvensalmi)",29,29,26,24,0
"52620  Kuitula (Hirvensalmi)",29,25,26,25,0
"52700  Mäntyharju Keskus (Mäntyharju)",1513,1589,1625,1527,0
"52720  Karankamäki-Koirakivi (Mäntyharju)",20,18,16,16,0
"52730  Koirakivi (Mäntyharju)",14,12,11,9,0
"52740  Tuustaipale (Mäntyharju)",11,20,14,14,0
"52760  Mynttilä (Mäntyharju)",12,12,10,9,0
"52780  Kuomiokoski (Mikkeli)",56,75,79,81,0
"52830  Suomenniemi (Mikkeli)",52,64,62,53,0
"52850  Halmeniemi (Mäntyharju)",8,6,7,5,0
"52890  Käävänkylä (Mäntyharju)",16,9,9,8,0
"52920  Voikoski (Kouvola)",91,76,82,76,0
"52960  Nurmaa (Mäntyharju)",10,19,23,23,0
"52970  Pankalahti-Ahvenainen (Mäntyharju)",17,16,13,13,0
"52980  Ahvenainen (Mäntyharju)",5,5,4,4,0
"53100  Lappeenranta keskus (Lappeenranta)",7392,7559,7409,7710,0
"53130  Keskussairaala-alue-Kimpinen (Lappeenranta)",2153,2256,2070,2047,0
"53200  Kaukas-Tirilä (Lappeenranta)",1281,1260,1288,1323,0
"53300  Lauritsala-Mälkiä (Lappeenranta)",1420,1341,1415,1392,0
"53400  Laihia (Lappeenranta)",254,269,274,291,0
"53420  Mustola (Lappeenranta)",426,348,428,414,0
"53500  Parkkarila-Harapainen-Reijola (Lappeenranta)",2336,2449,2453,2372,0
"53550  Kourulanmäki (Lappeenranta)",1652,1667,1829,1726,0
"53600  Kesämäki (Lappeenranta)",2279,2293,2330,2253,0
"53650  Mattila-Kuusela (Lappeenranta)",396,402,408,393,0
"53810  Kuusimäki-Lavola (Lappeenranta)",511,505,521,545,0
"53830  Rutola (Lappeenranta)",32,39,35,48,0
"53850  Skinnarila (Taipalsaari)",3194,3279,3287,3307,0
"53900  Pallo-Tysterniemi-Leiri (Lappeenranta)",1512,1764,2169,2238,0
"53920  Voisalmi (Lappeenranta)",353,349,372,312,0
"53950  Kivisalmi (Lappeenranta)",73,62,64,86,0
"54100  Joutseno Keskus (Lappeenranta)",1617,1637,1625,1575,0
"54110  Lampikangas (Lappeenranta)",254,270,257,265,0
"54120  Pulp (Lappeenranta)",469,519,526,487,0
"54190  Konnunsuo (Lappeenranta)",138,125,140,146,0
"54230  Nuijamaa (Lappeenranta)",438,428,441,423,0
"54250  Rapattila (Lappeenranta)",17,12,14,12,0
"54260  Hanhijärvi (Lappeenranta)",83,88,95,93,0
"54270  Vainikkala (Lappeenranta)",205,200,147,91,0
"54300  Vilkjärvi (Lappeenranta)",136,113,122,110,0
"54310  Hytti (Lappeenranta)",64,62,62,65,0
"54330  Simola (Lappeenranta)",56,56,51,42,0
"54390  Pulsa (Lappeenranta)",13,13,11,12,0
"54410  Ylämaa Keskus (Lappeenranta)",164,176,168,163,0
"54430  Hujakkala (Lappeenranta)",22,22,15,20,0
"54460  Ylijärvi (Lappeenranta)",8,9,8,10,0
"54490  Ahomäki (Miehikkälä)",14,13,12,13,0
"54500  Taavetti-Somerharju (Luumäki)",832,778,769,796,0
"54510  Uro (Luumäki)",156,156,157,145,0
"54530  Luumäki (Luumäki)",145,150,153,116,0
"54550  Suo-Anttila (Luumäki)",6,8,8,4,0
"54580  Somerharju (Luumäki)",2,1,1,2,0
"54590  Kaitjärvi (Luumäki)",8,7,8,9,0
"54710  Lemi Keskus (Lemi)",310,314,294,312,0
"54720  Laksiainen (Lemi)",29,33,32,27,0
"54750  Välijoki (Savitaipale)",54,50,45,42,0
"54770  Heituinlahti (Savitaipale)",85,81,85,85,0
"54800  Savitaipale Keskus (Savitaipale)",748,708,675,661,0
"54820  Kotimäki (Lemi)",12,14,11,20,0
"54850  Kuukanniemi (Lemi)",119,109,111,95,0
"54915  Saimaanharju-Kyläniemi (Taipalsaari)",214,227,261,232,0
"54920  Taipalsaari (Taipalsaari)",343,354,294,309,0
"54930  Levänen (Taipalsaari)",36,38,39,35,0
"54940  Solkei (Taipalsaari)",13,12,12,11,0
"54950  Pettilä (Savitaipale)",10,7,10,7,0
"54960  Vehkataipale (Taipalsaari)",50,54,62,51,0
"55100  Imatra Keskus (Imatra)",2174,2624,2103,2187,0
"55120  Mansikkala-Tuulikallio (Imatra)",2278,2345,2184,2073,0
"55300  Rauha-Tiuruniemi (Lappeenranta)",255,283,249,253,0
"55320  Rauha (Lappeenranta)",132,132,137,121,0
"55330  Tiuruniemi (Lappeenranta)",1,1,1,1,0
"55400  Tainionkoski-Mustalampi (Imatra)",110,80,66,72,0
"55420  Karhumäki-Karhukallio (Imatra)",351,335,324,298,0
"55510  Sotkulampi-Linnasuo (Imatra)",43,40,38,42,0
"55610  Rajapatsas-Teppanala (Imatra)",386,379,970,655,0
"55700  Vintteri-Virasoja (Imatra)",136,100,103,118,0
"55800  Vuoksenniska-Saarlampi (Imatra)",2497,2527,2615,2485,0
"55910  Rautio-Kurkvuori (Imatra)",349,352,388,398,0
"56100  Ruokolahti Keskus (Ruokolahti)",517,551,533,504,0
"56120  Salosaari (Ruokolahti)",50,44,39,51,0
"56140  Äitsaari (Ruokolahti)",28,23,26,25,0
"56210  Virmutjoki (Ruokolahti)",37,37,39,43,0
"56310  Syyspohja (Ruokolahti)",14,12,13,10,0
"56330  Utula (Ruokolahti)",4,7,7,7,0
"56350  Kyläniemi (Taipalsaari)",4,2,0,0,0
"56410  Kaiturinpää (Ruokolahti)",8,9,12,10,0
"56440  Pohja-Lankila (Ruokolahti)",16,13,13,9,0
"56510  Puntala (Ruokolahti)",165,173,173,197,0
"56550  Niska-Pietilä (Rautjärvi)",9,9,13,13,0
"56610  Rautjärvi (Rautjärvi)",82,77,46,38,0
"56640  Purnujärvi (Rautjärvi)",22,26,25,27,0
"56710  Miettilä (Rautjärvi)",5,7,7,8,0
"56730  Laikko (Rautjärvi)",36,34,35,31,0
"56800  Simpele (Rautjärvi)",689,702,745,657,0
"57100  Heikinpohja-Piispanmäki (Savonlinna)",1762,1763,1708,1703,0
"57120  Savonlinna (Savonlinna)",899,961,1255,1246,0
"57130  Savonlinna Keskus (Savonlinna)",1179,1183,1144,1128,0
"57170  Sortteerinlahti-Talvisalo (Savonlinna)",597,448,231,337,0
"57200  Miekonniemi-Venäjänniemi (Savonlinna)",1194,1193,1239,1211,0
"57210  Nojanmaa (Savonlinna)",493,559,539,526,0
"57220  Savonlinna (Savonlinna)",1041,1334,1309,1195,0
"57230  Inkerinkylä (Savonlinna)",116,123,128,122,0
"57310  Savonlinna (Savonlinna)",96,102,112,107,0
"57510  Laitaatsilta (Savonlinna)",137,129,104,103,0
"57600  Poukkusilta-Pihlajaniemi (Savonlinna)",183,181,182,188,0
"57710  Kellarpelto-Rantakoivikko (Savonlinna)",199,229,247,260,0
"57810  Savonlinna (Savonlinna)",142,107,111,83,0
"58130  Oravi (Savonlinna)",26,33,35,40,0
"58140  Ahvensalmi (Savonlinna)",13,20,13,14,0
"58150  Makkola (Savonlinna)",30,23,23,22,0
"58160  Karvila (Enonkoski)",13,14,20,21,0
"58170  Simanala (Enonkoski)",33,30,30,30,0
"58175  Enonkoski Keskus (Enonkoski)",296,293,297,268,0
"58180  Ihamaniemi (Enonkoski)",14,15,13,14,0
"58200  Kerimäki Keskus (Savonlinna)",682,672,635,631,0
"58220  Louhi (Savonlinna)",23,21,22,23,0
"58260  Kumpuranta (Savonlinna)",20,22,9,8,0
"58300  Savonranta Keskus (Savonlinna)",135,136,123,129,0
"58320  Raikuu (Savonlinna)",43,48,46,28,0
"58350  Villala (Kitee)",19,24,19,21,0
"58360  Säimen (Savonlinna)",24,26,27,27,0
"58390  Rönkönvaara (Savonlinna)",6,8,5,6,0
"58410  Haapakallio (Savonlinna)",467,490,478,472,0
"58420  Silvola (Savonlinna)",45,44,49,44,0
"58430  Kulennoinen (Savonlinna)",74,65,55,59,0
"58450  Punkaharju (Savonlinna)",170,187,174,171,0
"58500  Punkasalmi (Savonlinna)",809,1013,1029,955,0
"58520  Hiukkajoki (Savonlinna)",49,41,50,46,0
"58550  Putikko (Savonlinna)",69,66,76,71,0
"58570  Ruhvana (Savonlinna)",7,9,9,9,0
"58580  Vuoriniemi (Savonlinna)",11,11,10,10,0
"58610  Telakanava (Sulkava)",16,20,18,19,0
"58620  Lohilahti (Sulkava)",49,47,43,45,0
"58650  Kiviapaja (Savonlinna)",19,20,19,20,0
"58680  Piojärvi (Savonlinna)",17,17,17,14,0
"58690  Ala-Särkilahti-Piojärvi (Savonlinna)",29,30,32,33,0
"58700  Sulkava Keskus (Sulkava)",589,611,581,545,0
"58720  Kaartilankoski (Sulkava)",39,39,34,36,0
"58770  Pihlajalahti (Savonlinna)",30,27,27,36,0
"58810  Kallislahti (Savonlinna)",28,31,27,33,0
"58830  Parkumäki (Rantasalmi)",25,22,22,25,0
"58850  Hiltula (Rantasalmi)",9,10,9,7,0
"58900  Rantasalmi Keskus (Rantasalmi)",703,783,815,834,0
"58910  Rantasalmi Asemanseutu (Rantasalmi)",30,21,19,22,0
"58920  Kolkontaipale (Rantasalmi)",37,38,41,36,0
"58940  Tuusmäki (Rantasalmi)",52,45,53,53,0
"59100  Parikkala Keskus (Parikkala)",746,713,697,683,0
"59130  Koitsanlahti (Parikkala)",23,24,23,21,0
"59210  Melkoniemi (Parikkala)",20,17,13,12,0
"59310  Särkisalmi (Parikkala)",162,162,147,145,0
"59320  Haapaoja (Parikkala)",6,6,6,6,0
"59410  Kirjavala (Parikkala)",38,37,40,44,0
"59510  Maironiemi (Parikkala)",76,84,73,69,0
"59520  Saari (Parikkala)",12,12,10,13,0
"59530  Mikkolanniemi (Parikkala)",6,7,5,6,0
"59610  Tarnala (Parikkala)",19,26,20,15,0
"59710  Kummunkylä (Parikkala)",17,13,13,11,0
"59720  Niukkala (Parikkala)",20,21,21,23,0
"59730  Uukuniemi (Parikkala)",5,4,4,5,0
"59800  Kesälahti Keskus (Kitee)",378,395,419,398,0
"59810  Suurikylä (Kitee)",11,8,8,8,0
"59820  Purujärvi-Rajavaara (Kitee)",22,20,21,23,0
"60100  Seinäjoki Keskus (Seinäjoki)",10915,11236,11920,11591,0
"60120  Pohja (Seinäjoki)",1913,2145,2209,2346,0
"60150  Kasperi (Seinäjoki)",635,751,810,850,0
"60200  Törnävä (Seinäjoki)",1348,1378,1446,1487,0
"60220  Huhtala (Seinäjoki)",4436,4472,4657,4629,0
"60280  Eskoon Keskuslaitosalue (Seinäjoki)",401,431,462,440,0
"60320  Alakylä-Jouppi (Seinäjoki)",3877,4141,3947,4257,0
"60420  Impivaara (Seinäjoki)",195,213,219,217,0
"60450  Munakka (Ilmajoki)",42,49,52,45,0
"60510  Hyllykallio (Seinäjoki)",1377,1497,1445,1461,0
"60550  Nurmo Keskus (Seinäjoki)",2666,2644,2751,2735,0
"60560  Halkosaari (Seinäjoki)",98,99,93,110,0
"60640  Kurjenneva (Seinäjoki)",64,68,76,76,0
"60720  Tuomikylä (Ilmajoki)",253,299,287,280,0
"60760  Pojanluoma (Ilmajoki)",309,347,356,362,0
"60800  Ilmajoki Keskus (Ilmajoki)",2009,1966,1926,1953,0
"61100  Peräseinäjoki Keskus (Seinäjoki)",680,670,671,693,0
"61110  Vuolle (Seinäjoki)",29,31,31,26,0
"61120  Louko (Seinäjoki)",59,54,54,53,0
"61140  Pasto (Seinäjoki)",13,14,15,11,0
"61150  Sydänmaa (Alavus)",4,4,3,3,0
"61160  Koura (Seinäjoki)",75,87,90,76,0
"61170  Sääskiniemi (Alavus)",38,35,39,31,0
"61180  Haapaluoma (Seinäjoki)",32,29,29,18,0
"61220  Myllysalo (Kurikka)",145,213,229,183,0
"61230  Luopa (Kurikka)",201,214,162,165,0
"61250  Jalasto (Kurikka)",53,55,55,59,0
"61270  Luopajärvi (Kurikka)",164,165,171,163,0
"61280  Jokipii (Kurikka)",224,217,230,245,0
"61290  Taivalmaa (Kurikka)",16,16,17,14,0
"61300  Kurikka Keskus (Kurikka)",2498,2546,2535,2565,0
"61310  Panttila (Kurikka)",81,75,73,46,0
"61330  Koskenkorva (Ilmajoki)",382,444,442,396,0
"61340  Nopankylä (Ilmajoki)",40,41,43,36,0
"61350  Huissi (Ilmajoki)",59,54,49,39,0
"61360  Mieto (Kurikka)",133,137,118,90,0
"61370  Lohiluoma (Kurikka)",49,44,48,45,0
"61380  Polvenkylä (Kurikka)",26,20,23,26,0
"61400  Ylistaro Keskus (Seinäjoki)",736,704,669,705,0
"61410  Ylistaro Asemanseutu (Seinäjoki)",119,127,107,120,0
"61430  Isorehto (Seinäjoki)",44,38,41,44,0
"61440  Untamala (Seinäjoki)",30,29,35,32,0
"61450  Kylänpää (Seinäjoki)",90,92,90,57,0
"61460  Hanhikoski (Seinäjoki)",25,25,26,24,0
"61470  Kitinoja (Seinäjoki)",23,27,24,21,0
"61500  Isokyrö Keskus (Isokyrö)",799,793,800,772,0
"61520  Lehmäjoki (Isokyrö)",32,34,34,37,0
"61550  Orismala (Isokyrö)",94,102,91,68,0
"61560  Orisberg (Isokyrö)",7,9,8,7,0
"61600  Jalasjärvi Keskus (Kurikka)",1632,1608,1600,1620,0
"61630  Hirvijärvi (Kurikka)",58,59,55,55,0
"61640  Ala-Valli (Kurikka)",32,36,36,38,0
"61650  Kalakoski (Seinäjoki)",36,39,41,37,0
"61680  Mantila (Kurikka)",32,31,30,28,0
"61710  Pentinmäki (Kurikka)",55,48,48,68,0
"61720  Koskue (Kurikka)",102,111,120,122,0
"61730  Yli-Valli (Kurikka)",25,23,24,27,0
"61760  Ilvesjoki (Kurikka)",60,67,72,69,0
"61800  Kauhajoki Keskus (Kauhajoki)",3120,3054,3032,3095,0
"61810  Luomankylä (Kauhajoki)",27,33,45,49,0
"61820  Kainasto (Kauhajoki)",96,103,96,91,0
"61840  Norinkylä (Teuva)",55,61,48,58,0
"61850  Kauhajoki Asemanseutu (Kauhajoki)",1277,1355,1371,1382,0
"61860  Harja (Kauhajoki)",28,15,25,27,0
"61880  Ikkeläjärvi (Kauhajoki)",23,24,29,31,0
"61910  Nummijärvi (Kauhajoki)",41,44,43,42,0
"61920  Nummikoski (Kauhajoki)",13,15,16,13,0
"61940  Hyyppä (Kauhajoki)",26,25,30,30,0
"61950  Juonikylä (Kauhajoki)",20,22,21,21,0
"61960  Kyrönlatva (Kauhajoki)",25,28,25,19,0
"61980  Päntäne (Kauhajoki)",117,126,110,101,0
"62100  Lapua Keskus (Lapua)",3655,3701,3783,3728,0
"62130  Hellanmaa (Lapua)",162,153,140,138,0
"62150  Rintakangas (Kauhava)",17,13,25,20,0
"62160  Karhunkylä (Lapua)",64,63,68,56,0
"62165  Tiisteenjoki (Lapua)",32,40,45,45,0
"62170  Lakaluoma (Lapua)",27,29,31,27,0
"62175  Ylikylä-Mäenpää (Lapua)",12,12,11,11,0
"62185  Mäki-Paavola (Lapua)",27,25,26,31,0
"62190  Ruha (Lapua)",48,46,49,47,0
"62200  Kauhava Keskus (Kauhava)",1939,1997,2095,2191,0
"62220  Pernaa (Kauhava)",59,52,53,57,0
"62230  Jylhä (Kauhava)",45,36,53,48,0
"62240  Huhmarkoski (Kauhava)",78,75,72,76,0
"62260  Hirvijoki (Kauhava)",21,24,24,25,0
"62280  Mustamaa (Lapua)",26,29,30,27,0
"62290  Hirvikylä (Lapua)",22,26,29,28,0
"62295  Kauhajärvi (Lapua)",62,64,63,68,0
"62300  Härmä (Kauhava)",899,996,946,933,0
"62310  Voltti (Kauhava)",227,217,199,197,0
"62340  Kuoppa-Vakkuri (Kauhava)",15,17,17,19,0
"62350  Ekola (Kauhava)",20,20,23,23,0
"62370  Kangasto (Kauhava)",72,42,29,12,0
"62375  Ylihärmä Keskus-Vesiluoma (Kauhava)",1420,1551,1595,1536,0
"62380  Kosolankylä (Kauhava)",30,29,34,32,0
"62395  Petterinmäki (Vörå)",56,48,49,50,0
"62410  Rintala (Kauhava)",79,84,84,90,0
"62420  Kortesjärvi Keskus (Kauhava)",366,385,393,377,0
"62430  Peltotupa (Kauhava)",16,15,17,16,0
"62435  Pirttinen (Kauhava)",19,16,22,22,0
"62440  Perkiömäki (Kauhava)",9,11,11,6,0
"62470  Purmojärvi (Kauhava)",66,75,75,82,0
"62500  Evijärvi Keskus (Evijärvi)",428,458,435,449,0
"62510  Kuoppa-aho (Evijärvi)",204,196,207,230,0
"62520  Kautiainen (Evijärvi)",28,31,32,31,0
"62540  Vasikka-aho (Evijärvi)",50,42,56,54,0
"62570  Särkilä (Evijärvi)",28,28,33,34,0
"62600  Lappajärvi Keskus (Lappajärvi)",605,577,574,591,0
"62610  Tarvola (Lappajärvi)",3,0,0,0,0
"62620  Ala-Seppä (Lappajärvi)",14,12,12,12,0
"62630  Karvala (Lappajärvi)",70,70,68,59,0
"62640  Savonkylä (Lappajärvi)",16,15,15,11,0
"62660  Itäkylä (Lappajärvi)",96,109,97,88,0
"62710  Kurejoki (Alajärvi)",94,102,97,94,0
"62720  Sissala (Alajärvi)",35,36,38,36,0
"62730  Haukkala (Alajärvi)",115,111,119,114,0
"62740  Koskenvarsi (Alajärvi)",29,39,49,54,0
"62750  Saukonkylä (Alajärvi)",16,23,15,15,0
"62760  Menkijärvi (Alajärvi)",34,31,32,25,0
"62800  Vimpeli Keskus (Vimpeli)",840,849,858,804,0
"62810  Savonjoki (Vimpeli)",14,15,15,12,0
"62830  Luoma-Aho (Alajärvi)",340,422,405,380,0
"62840  Lakaniemi-Pokela (Vimpeli)",4,5,7,5,0
"62860  Sahi (Vimpeli)",16,15,17,19,0
"62870  Vinni (Vimpeli)",15,19,19,24,0
"62880  Sääksvesi-Vinni (Vimpeli)",27,31,27,30,0
"62900  Alajärvi Keskus (Alajärvi)",1800,1819,1825,1821,0
"62920  Levijoki (Alajärvi)",17,11,12,16,0
"62940  Hoisko (Alajärvi)",89,76,81,93,0
"62950  Paalijärvi (Alajärvi)",83,74,79,84,0
"62990  Möksy (Alajärvi)",18,18,19,19,0
