"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"62100  Lapua Keskus (Lapua)",2.1,2.1,2.1,2.1,2.1
"62130  Hellanmaa (Lapua)",2.5,2.4,2.3,2.3,2.3
"62150  Rintakangas (Kauhava)",2.4,2.5,2.3,2.3,2.3
"62160  Karhunkylä (Lapua)",2.4,2.4,2.3,2.3,2.3
"62165  Tiisteenjoki (Lapua)",2.3,2.2,2.2,2.2,2.1
"62170  Lakaluoma (Lapua)",2.3,2.3,2.2,2.3,2.2
"62175  Ylikylä-Mäenpää (Lapua)",2.1,2.0,2.1,2.0,2.0
"62185  Mäki-Paavola (Lapua)",2.4,2.4,2.4,2.4,2.4
"62190  Ruha (Lapua)",2.3,2.4,2.3,2.4,2.3
"62200  Kauhava Keskus (Kauhava)",2.0,2.0,2.0,2.0,2.0
"62220  Pernaa (Kauhava)",2.2,2.2,2.2,2.2,2.1
"62230  Jylhä (Kauhava)",2.3,2.2,2.2,2.2,2.2
"62240  Huhmarkoski (Kauhava)",2.0,2.0,2.0,1.9,1.9
"62260  Hirvijoki (Kauhava)",2.2,2.2,2.2,2.1,2.1
"62280  Mustamaa (Lapua)",2.4,2.5,2.5,2.6,2.5
"62290  Hirvikylä (Lapua)",2.3,2.3,2.3,2.2,2.2
"62295  Kauhajärvi (Lapua)",2.1,2.1,2.1,2.0,2.0
"62300  Härmä (Kauhava)",2.0,2.0,2.0,2.0,2.0
"62310  Voltti (Kauhava)",2.1,2.2,2.1,2.1,2.1
"62340  Kuoppa-Vakkuri (Kauhava)",1.9,1.8,1.9,1.7,1.8
"62350  Ekola (Kauhava)",2.2,2.3,2.2,2.2,2.2
"62370  Kangasto (Kauhava)",2.3,2.3,2.2,2.2,2.2
"62375  Ylihärmä Keskus-Vesiluoma (Kauhava)",2.1,2.0,2.0,2.0,2.0
"62380  Kosolankylä (Kauhava)",2.0,2.0,2.0,2.0,2.0
"62395  Petterinmäki (Vörå)",2.0,2.1,2.1,2.2,2.0
"62410  Rintala (Kauhava)",2.4,2.4,2.4,2.4,2.4
"62420  Kortesjärvi Keskus (Kauhava)",2.0,2.0,2.0,1.9,1.9
"62430  Peltotupa (Kauhava)",2.5,2.6,2.6,2.6,2.5
"62435  Pirttinen (Kauhava)",2.3,2.3,2.3,2.3,2.3
"62440  Perkiömäki (Kauhava)",2.0,1.9,2.0,2.0,2.1
"62470  Purmojärvi (Kauhava)",2.2,2.2,2.1,2.1,2.1
"62500  Evijärvi Keskus (Evijärvi)",2.1,2.1,2.2,2.1,2.1
"62510  Kuoppa-aho (Evijärvi)",2.2,2.2,2.2,2.2,2.2
"62520  Kautiainen (Evijärvi)",2.1,2.1,2.2,2.1,2.1
"62540  Vasikka-aho (Evijärvi)",2.1,2.2,2.1,2.1,2.1
"62570  Särkilä (Evijärvi)",2.2,2.2,2.0,2.0,2.0
"62600  Lappajärvi Keskus (Lappajärvi)",2.1,2.1,2.1,2.0,2.0
"62610  Tarvola (Lappajärvi)",2.0,2.0,1.9,1.8,1.9
"62620  Ala-Seppä (Lappajärvi)",2.1,2.1,2.1,2.1,2.0
"62630  Karvala (Lappajärvi)",2.0,1.9,1.9,1.9,1.9
"62640  Savonkylä (Lappajärvi)",2.3,2.2,2.2,2.1,2.1
"62660  Itäkylä (Lappajärvi)",2.3,2.3,2.2,2.2,2.1
"62710  Kurejoki (Alajärvi)",2.6,2.5,2.5,2.5,2.4
"62720  Sissala (Alajärvi)",3.0,3.0,2.9,2.9,2.8
"62730  Haukkala (Alajärvi)",2.8,2.8,2.8,2.8,2.8
"62740  Koskenvarsi (Alajärvi)",2.4,2.4,2.4,2.5,2.4
"62750  Saukonkylä (Alajärvi)",2.1,2.0,2.0,2.0,2.0
"62760  Menkijärvi (Alajärvi)",2.3,2.3,2.3,2.2,2.3
"62800  Vimpeli Keskus (Vimpeli)",2.1,2.1,2.1,2.0,2.0
"62810  Savonjoki (Vimpeli)",2.2,2.1,2.1,2.1,2.1
"62830  Luoma-Aho (Alajärvi)",2.5,2.5,2.4,2.4,2.3
"62840  Lakaniemi-Pokela (Vimpeli)",...,...,...,...,...
"62860  Sahi (Vimpeli)",2.4,2.4,2.3,2.2,2.2
"62870  Vinni (Vimpeli)",...,...,...,...,...
"62880  Sääksvesi-Vinni (Vimpeli)",2.1,2.0,2.0,2.0,2.1
"62900  Alajärvi Keskus (Alajärvi)",2.2,2.2,2.2,2.1,2.1
"62920  Levijoki (Alajärvi)",2.2,2.3,2.3,2.2,2.2
"62940  Hoisko (Alajärvi)",2.4,2.4,2.5,2.4,2.5
"62950  Paalijärvi (Alajärvi)",2.3,2.3,2.2,2.3,2.3
"62990  Möksy (Alajärvi)",2.1,2.1,2.1,2.2,2.2
"63100  Kuortane Keskus (Kuortane)",1.9,1.8,1.8,1.9,1.8
"63120  Leppälänkylä (Kuortane)",2.3,2.3,2.3,2.2,2.2
"63130  Mäyry (Kuortane)",2.4,2.4,2.3,2.3,2.3
"63150  Ruona (Kuortane)",2.2,2.2,2.2,2.2,2.1
"63160  Salmi (Kuortane)",2.3,2.2,2.1,2.2,2.2
"63210  Niinimaa (Alavus)",2.3,2.3,2.3,2.3,2.3
"63230  Lentilä (Kuortane)",2.2,2.2,2.2,2.2,2.2
"63250  Rantala (Kuortane)",2.6,2.5,2.5,2.6,2.5
"63300  Alavus Keskus (Alavus)",2.0,2.0,2.0,2.0,2.0
"63320  Kattelus (Alavus)",...,...,...,...,...
"63330  Pahajoki (Alavus)",2.3,2.3,2.1,2.1,2.2
"63340  Sapsalampi (Alavus)",2.1,2.1,2.1,2.1,2.1
"63350  Sulkavankylä (Alavus)",2.6,2.5,2.5,2.5,2.5
"63355  Seinäjärvi (Alavus)",2.4,2.4,2.5,2.5,2.6
"63360  Kuivaskylä (Alavus)",2.3,2.3,2.2,2.1,2.1
"63370  Taipalus (Alavus)",2.6,2.6,2.5,2.5,2.4
"63400  Alavus Asemanseutu (Alavus)",2.0,2.1,2.1,2.0,2.0
"63410  Rantatöysä (Alavus)",2.1,2.1,2.1,2.1,2.1
"63430  Kätkänjoki (Alavus)",2.2,2.2,2.0,2.0,2.0
"63450  Löyä (Kuortane)",...,...,...,...,...
"63500  Lehtimäki Keskus (Alajärvi)",1.9,1.9,1.9,1.9,1.9
"63510  Lehtimäki Kirkonkylä (Alajärvi)",2.0,1.9,1.9,1.9,1.9
"63530  Länsikylä (Alajärvi)",2.2,2.1,2.2,2.2,2.3
"63540  Hernesmaa (Alajärvi)",2.0,2.0,2.0,1.9,1.9
"63600  Töysä Keskus (Alavus)",1.9,1.9,1.9,1.9,1.9
"63610  Tuuri (Alavus)",2.3,2.3,2.2,2.2,2.2
"63640  Ritola (Alavus)",2.3,2.3,2.2,2.2,2.2
"63660  Ähtärinranta (Ähtäri)",2.2,2.2,2.2,2.1,2.1
"63680  Hakojärvi (Alavus)",2.5,2.4,2.4,2.4,2.3
"63700  Ähtäri Keskus (Ähtäri)",1.9,1.9,1.9,1.9,1.8
"63770  Peränne (Ähtäri)",2.3,2.3,2.4,2.3,2.3
"63780  Alastaipale (Ähtäri)",1.9,1.8,1.8,1.7,1.8
"63800  Soini Keskus (Soini)",2.1,2.1,2.1,2.1,2.0
"63830  Keisala (Soini)",...,...,...,...,...
"63880  Kukonkylä (Soini)",1.9,1.9,2.0,1.9,1.9
"63890  Hautakylä (Soini)",2.3,2.3,2.3,2.3,2.3
"63900  Myllymäki-Vehunkylä (Ähtäri)",2.1,2.1,2.1,2.0,2.0
"63910  Inhan Tehtaat (Ähtäri)",2.1,2.1,2.0,2.0,2.0
"63920  Inha (Ähtäri)",2.1,2.2,2.3,2.3,2.2
"63950  Vehunkylä (Ähtäri)",...,...,...,...,...
"64100  Kristiinankaupunki keskus (Kristinestad)",1.9,1.9,1.9,1.9,1.9
"64140  Tiukka (Kristinestad)",2.2,2.2,2.1,2.1,2.1
"64200  Närpiö Keskus (Närpes)",2.1,2.1,2.1,2.1,2.1
"64210  Kalax (Närpes)",2.3,2.3,2.3,2.4,2.4
"64220  Yttermark (Närpes)",2.3,2.3,2.3,2.3,2.3
"64230  Närpiön Asemanseutu (Närpes)",2.5,2.4,2.4,2.4,2.4
"64240  Böle (Närpes)",2.5,2.5,2.6,2.6,2.6
"64250  Pjelax (Närpes)",2.3,2.4,2.4,2.4,2.3
"64260  Kaskinen (Kaskinen)",1.9,1.9,1.9,1.9,1.9
"64300  Lapväärtti (Kristinestad)",2.0,2.0,2.0,2.0,2.0
"64320  Dagsmark (Kristinestad)",2.1,2.1,2.1,2.0,2.0
"64350  Karijoki Keskus (Karijoki)",1.9,1.9,1.9,1.9,1.8
"64370  Myrkky (Karijoki)",1.8,1.8,1.8,1.7,1.7
"64440  Metsälä-Kallträsk (Kristinestad)",2.2,2.0,2.1,2.0,2.1
"64450  Kallträsk (Kristinestad)",...,...,...,...,...
"64460  Härkmeri (Kristinestad)",2.2,2.2,2.2,2.3,2.3
"64480  Skaftung (Kristinestad)",1.9,1.9,1.9,1.9,2.0
"64490  Siipyy (Kristinestad)",1.7,1.7,1.7,1.6,1.6
"64510  Nämpnäs (Närpes)",2.3,2.4,2.4,2.4,2.4
"64530  Norrnäs (Närpes)",2.1,2.1,2.1,2.1,2.1
"64550  Rangsby (Närpes)",2.2,2.2,2.2,2.2,2.2
"64610  Övermark (Närpes)",2.1,2.1,2.1,2.2,2.1
"64700  Teuva Keskus (Teuva)",2.0,2.0,2.0,2.0,1.9
"64720  Perälä (Teuva)",2.1,2.2,2.2,2.1,2.0
"64740  Horo (Teuva)",2.0,2.0,1.9,1.9,1.9
"64760  Peltola (Teuva)",2.0,2.0,2.0,2.0,2.0
"64770  Äystö (Teuva)",2.3,2.3,2.3,2.3,2.3
"64810  Vanhakylä (Isojoki)",1.9,2.1,2.0,2.0,1.9
"64820  Kärjenkoski (Isojoki)",2.0,1.9,1.9,1.9,1.9
"64830  Villamo (Isojoki)",2.0,2.0,2.0,2.1,2.2
"64840  Heikkilänjoki (Isojoki)",...,...,...,...,...
"64850  Möykky (Isojoki)",2.0,2.0,2.0,1.8,1.9
"64900  Isojoki Keskus (Isojoki)",1.8,1.8,1.8,1.8,1.8
"64930  Kodesjärvi (Isojoki)",2.1,2.1,2.1,2.1,2.2
"65100  Vaasa Keskus (Vaasa)",1.5,1.5,1.5,1.5,1.5
"65130  Hietalahti (Vaasa)",0.0,0.0,0.0,0.0,0.0
"65170  Vaskiluoto (Vaasa)",2.2,2.2,2.4,2.3,2.4
"65200  Palosaari (Vaasa)",1.5,1.5,1.5,1.5,1.6
"65230  Vetokannas (Vaasa)",2.3,2.3,2.2,2.2,2.3
"65280  Gerby (Vaasa)",2.4,2.4,2.4,2.4,2.4
"65300  Asevelikylä (Vaasa)",2.7,2.7,2.6,2.6,2.6
"65320  Huutoniemi (Vaasa)",2.0,2.0,2.0,2.0,2.0
"65350  Suvilahti (Vaasa)",1.9,1.8,1.8,1.8,1.8
"65370  Ristinummi (Vaasa)",1.9,1.9,1.9,1.8,1.9
"65380  Vanha Vaasa (Vaasa)",2.1,2.1,2.1,2.1,2.1
"65410  Sundom (Vaasa)",2.6,2.6,2.6,2.6,2.6
"65450  Sulva (Korsholm)",2.5,2.5,2.4,2.4,2.4
"65460  Tölby-Rimal (Korsholm)",2.7,2.7,2.7,2.7,2.6
"65470  Rimal (Korsholm)",...,...,...,...,...
"65480  Vikby (Korsholm)",2.4,2.4,2.3,2.3,2.3
"65520  Helsingby (Korsholm)",2.4,2.4,2.3,2.3,2.3
"65610  Mustasaari Keskus (Korsholm)",2.2,2.2,2.2,2.2,2.2
"65630  Karperö (Korsholm)",2.7,2.7,2.6,2.6,2.6
"65650  Koskö (Korsholm)",2.3,2.3,2.3,2.3,2.3
"65710  Singsby (Korsholm)",2.5,2.6,2.6,2.6,2.6
"65730  Jungsund (Korsholm)",2.4,2.4,2.4,2.3,2.3
"65760  Iskmo (Korsholm)",2.4,2.4,2.3,2.4,2.4
"65800  Raippaluoto (Korsholm)",2.5,2.5,2.4,2.4,2.4
"65870  Björköby (Korsholm)",2.0,2.1,2.1,2.1,2.1
"65920  Norra Vallgrund-Söderudden (Korsholm)",2.5,2.4,2.4,2.5,2.4
"65930  Södra Vallgrund (Korsholm)",2.2,2.2,2.2,2.2,2.2
"65970  Söderudden (Korsholm)",1.9,1.9,1.9,1.9,1.8
"66100  Maalahti (Malax)",2.1,2.1,2.1,2.1,2.2
"66140  Övermalax (Malax)",2.1,2.1,2.1,2.1,2.1
"66160  Långåminne (Malax)",2.2,2.2,2.1,2.1,2.1
"66200  Korsnäs Keskus (Korsnäs)",2.2,2.2,2.1,2.1,2.1
"66210  Moikipää (Korsnäs)",2.2,2.2,2.2,2.2,2.2
"66220  Bergö (Malax)",1.9,2.0,2.0,2.0,2.0
"66230  Korsbäck (Korsnäs)",2.0,1.9,2.0,2.1,1.9
"66240  Petolahti (Malax)",2.1,2.1,2.1,2.0,2.0
"66260  Svarvar (Malax)",2.0,2.0,2.1,2.1,2.2
"66270  Pirttikylä-Sorvari (Närpes)",2.0,2.0,2.0,2.1,2.1
"66280  Taklax (Korsnäs)",2.1,2.1,2.1,2.1,2.1
"66290  Harrström (Korsnäs)",2.3,2.2,2.3,2.3,2.2
"66295  Töjby (Närpes)",2.3,2.2,2.3,2.3,2.2
"66300  Jurva Keskus (Kurikka)",2.0,2.0,1.9,1.9,1.9
"66320  Niemenkylä (Kurikka)",2.0,2.0,2.0,2.1,2.1
"66330  Hakko (Kurikka)",2.0,2.0,1.9,2.0,2.0
"66340  Sarvijoki (Kurikka)",2.1,2.1,2.0,2.0,1.9
"66350  Tainus (Kurikka)",2.2,2.2,2.2,2.2,2.2
"66360  Kesti (Kurikka)",2.1,2.1,2.1,2.1,2.1
"66370  Närvijoki (Kurikka)",1.9,1.9,1.9,1.8,1.8
"66400  Laihia Keskus (Laihia)",2.2,2.2,2.1,2.1,2.1
"66420  Ruto (Laihia)",2.4,2.3,2.3,2.2,2.2
"66430  Vedenoja (Vaasa)",2.5,2.4,2.4,2.2,2.4
"66440  Tervajoki (Isokyrö)",2.1,2.1,2.1,2.1,2.1
"66450  Jakkula (Laihia)",2.3,2.3,2.3,2.3,2.3
"66460  Haapala (Laihia)",2.4,2.4,2.4,2.4,2.4
"66470  Jukaja-Jokisalo (Laihia)",2.3,2.3,2.3,2.3,2.2
"66500  Vähäkyrö Keskus (Vaasa)",2.1,2.1,2.1,2.0,2.1
"66510  Merikaarto (Vaasa)",2.5,2.5,2.5,2.4,2.4
"66520  Veikkaala (Korsholm)",2.1,2.1,2.1,2.1,2.2
"66530  Koivulahti (Korsholm)",2.4,2.4,2.4,2.4,2.4
"66540  Petsmo (Korsholm)",2.3,2.4,2.3,2.4,2.4
"66550  Västerhankmo (Korsholm)",2.1,2.2,2.2,2.3,2.3
"66560  Österhankmo (Korsholm)",2.4,2.4,2.3,2.4,2.4
"66580  Kuni (Korsholm)",2.6,2.4,2.4,2.4,2.4
"66590  Vassor (Korsholm)",2.4,2.4,2.4,2.3,2.3
"66600  Vöyri Keskus (Vörå)",2.2,2.2,2.2,2.1,2.1
"66640  Maksamaa (Vörå)",2.3,2.2,2.2,2.2,2.2
"66660  Bertby (Vörå)",2.4,2.4,2.3,2.3,2.4
"66680  Kaurajärvi (Vörå)",2.5,2.5,2.5,2.4,2.4
"66710  Kaitsor (Vörå)",2.4,2.3,2.3,2.3,2.3
"66730  Oxkangar (Vörå)",...,...,...,...,...
"66800  Oravainen Keskus (Vörå)",2.2,2.1,2.2,2.1,2.1
"66810  Kimo (Vörå)",2.4,2.4,2.5,2.4,2.5
"66820  Komossa (Vörå)",2.4,2.4,2.4,2.3,2.3
"66830  Oravaisten Tehdas (Vörå)",2.2,2.2,2.2,2.2,2.2
"66840  Pensala (Nykarleby)",2.3,2.4,2.3,2.4,2.3
"66850  Jepua (Nykarleby)",2.3,2.4,2.3,2.3,2.4
"66900  Uusikaarlepyy Keskus (Nykarleby)",2.2,2.2,2.2,2.2,2.2
"66910  Soklot (Nykarleby)",2.7,2.8,2.8,2.9,2.9
"66930  Kovjoki (Nykarleby)",2.5,2.4,2.4,2.3,2.4
"66950  Munsala (Nykarleby)",2.4,2.4,2.4,2.4,2.4
"66970  Hirvlax (Nykarleby)",2.2,2.2,2.1,2.1,2.1
"66980  Monå (Nykarleby)",2.2,2.2,2.1,2.2,2.2
"66999  Kaukaluoto (Korsholm)",...,...,...,...,...
"67100  Kokkola Keskus (Kokkola)",1.7,1.7,1.7,1.7,1.7
"67200  Kiviniitty-Tullimäki (Kokkola)",1.8,1.8,1.8,1.8,1.8
"67300  Halkokari (Kokkola)",2.3,2.3,2.3,2.3,2.3
"67400  Rytimäki (Kokkola)",2.6,2.6,2.6,2.6,2.6
"67410  Vitsari (Kokkola)",2.5,2.4,2.5,2.5,2.5
"67500  Sokoja (Kokkola)",2.7,2.7,2.6,2.7,2.6
"67600  Linnusperä-Kaustari (Kokkola)",2.9,2.8,2.8,2.8,2.7
"67700  Kirkonmäki-Isokylä (Kokkola)",2.7,2.7,2.6,2.6,2.6
"67800  Koivuhaka (Kokkola)",1.9,1.9,1.9,1.9,1.9
"67900  Ykspihjala (Kokkola)",2.2,2.2,2.3,2.3,2.2
"68100  Himanka Keskus (Kalajoki)",2.2,2.1,2.2,2.2,2.1
"68150  Hillilä (Kalajoki)",2.3,2.3,2.4,2.3,2.3
"68210  Marinkainen (Kokkola)",2.3,2.3,2.3,2.3,2.3
"68220  Karhi (Kokkola)",2.8,2.8,2.8,2.8,2.8
"68230  Lohtaja Keskus (Kokkola)",2.2,2.2,2.2,2.2,2.2
"68240  Ala-Viirre (Kokkola)",2.3,2.3,2.2,2.2,2.2
"68300  Kälviä Keskus (Kokkola)",2.4,2.4,2.4,2.4,2.4
"68320  Ruotsalo (Kokkola)",2.7,2.7,2.7,2.7,2.7
"68370  Ullava Keskus (Kokkola)",2.5,2.5,2.4,2.4,2.4
"68380  Yli-Ullava (Kokkola)",2.3,2.2,2.2,2.2,2.3
"68390  Rahkonen (Kokkola)",2.6,2.5,2.6,2.6,2.4
"68410  Alaveteli (Kronoby)",2.5,2.5,2.5,2.5,2.4
"68500  Kruunupyy Keskus (Kronoby)",2.4,2.4,2.4,2.4,2.4
"68530  Lepplax (Pedersöre)",3.7,3.6,3.7,3.7,3.7
"68550  Öja (Kokkola)",2.3,2.3,2.3,2.3,2.3
"68555  Bosund (Larsmo)",3.4,3.3,3.4,3.3,3.4
"68560  Eugmo (Larsmo)",3.8,3.8,3.9,3.9,4.0
"68570  Luoto (Larsmo)",2.9,2.9,2.9,2.9,2.9
"68580  Furuholmen (Larsmo)",2.7,2.7,2.7,2.7,2.7
"68600  Pietarsaari Keskus (Jakobstad)",2.1,2.1,2.0,2.0,2.1
"68620  Skutnäs-Västermalm (Jakobstad)",2.1,2.1,2.1,2.1,2.1
"68630  Kyrkostrand (Jakobstad)",2.5,2.4,2.4,2.4,2.4
"68660  Östermalm-Björnholmen (Jakobstad)",2.0,2.0,2.0,2.1,2.1
"68690  Sundby (Pedersöre)",2.4,2.3,2.4,2.4,2.4
"68700  Teerijärvi (Kronoby)",2.2,2.2,2.2,2.2,2.2
"68750  Småbönders (Kronoby)",2.3,2.4,2.3,2.3,2.3
"68800  Kolppi (Pedersöre)",2.9,2.8,2.8,2.7,2.8
"68810  Ytteresse (Pedersöre)",3.6,3.6,3.6,3.6,3.5
"68820  Ähtävä (Pedersöre)",2.5,2.4,2.4,2.4,2.4
"68830  Bäckby (Pedersöre)",2.3,2.4,2.4,2.4,2.6
"68840  Nederlappfors (Pedersöre)",2.4,2.3,2.3,2.3,2.2
"68870  Edsevö (Pedersöre)",2.4,2.3,2.3,2.3,2.2
"68910  Pännäinen (Pedersöre)",2.6,2.6,2.6,2.6,2.6
"68920  Forsby (Pedersöre)",2.6,2.6,2.5,2.5,2.4
"68930  Purmo (Pedersöre)",2.5,2.5,2.5,2.5,2.4
"68940  Lillby (Pedersöre)",2.5,2.5,2.4,2.4,2.3
"68970  Överpurmo (Pedersöre)",2.3,2.3,2.3,2.2,2.2
"68999  Rita (Kokkola)",3.0,3.0,2.5,2.4,2.3
"69100  Kannus Keskus (Kannus)",2.2,2.2,2.1,2.1,2.1
"69150  Eskola (Kannus)",2.1,2.1,2.0,2.0,2.0
"69170  Yli-Kannus (Kannus)",2.7,2.7,2.8,2.7,2.6
"69300  Toholampi Keskus (Toholampi)",2.2,2.2,2.2,2.1,2.1
"69310  Laitala (Toholampi)",2.6,2.6,2.5,2.4,2.5
"69330  Määttälä (Toholampi)",2.3,2.1,2.1,2.1,2.1
"69340  Purontaka (Toholampi)",2.5,2.5,2.3,2.3,2.3
"69410  Sykäräinen (Toholampi)",2.2,2.2,2.2,2.2,2.1
"69420  Syri (Lestijärvi)",...,...,...,...,...
"69440  Lestijärvi Keskus (Lestijärvi)",1.9,1.9,1.9,1.9,1.9
"69450  Yli-Lesti (Lestijärvi)",2.3,2.3,2.3,2.3,2.2
"69510  Halsua Keskus-Marjusaari (Halsua)",2.1,2.1,2.1,2.0,2.0
"69550  Kanala (Halsua)",2.1,2.0,2.0,1.9,2.0
"69570  Karvonen (Halsua)",2.2,2.1,2.1,2.1,2.1
"69600  Kaustinen Keskus (Kaustinen)",2.2,2.2,2.2,2.2,2.2
"69660  Köyhäjoki (Kaustinen)",2.6,2.5,2.5,2.4,2.4
"69700  Veteli Keskus (Veteli)",2.1,2.1,2.0,2.0,2.0
"69730  Tunkkari (Veteli)",2.4,2.4,2.4,2.3,2.3
"69750  Sillanpää (Veteli)",2.1,2.1,2.1,2.2,2.2
"69820  Räyrinki (Veteli)",2.1,2.1,2.0,2.0,2.0
"69830  Pulkkinen (Veteli)",2.2,2.2,2.1,2.1,2.1
"69850  Patana (Veteli)",2.3,2.3,2.2,2.1,2.1
"69910  Kivikangas (Perho)",...,...,...,...,...
"69920  Oksakoski-Kivikangas (Perho)",2.5,2.5,2.5,2.4,2.3
"69950  Perho Keskus-Salamajärvi (Perho)",2.3,2.3,2.3,2.3,2.3
"69970  Salamajärvi (Perho)",...,...,...,...,...
"69980  Möttönen (Perho)",3.1,3.1,3.1,3.0,3.0
"70100  Kuopio Keskus (Kuopio)",1.5,1.5,1.5,1.5,1.5
"70110  Etu-Niirala (Kuopio)",1.4,1.4,1.4,1.4,1.4
"70150  Neulamäki (Kuopio)",1.6,1.7,1.7,1.7,1.7
"70200  Puijonlaakso (Kuopio)",1.6,1.5,1.5,1.6,1.6
"70210  Kuopion Keskussairaala-alue (Kuopio)",0.0,0.0,...,...,...
"70240  Niuvaniemen Sairaala-alue (Kuopio)",1.6,1.5,1.5,1.4,1.4
"70260  Julkula (Kuopio)",2.2,2.1,2.1,2.0,2.1
"70280  Länsi-Puijo (Kuopio)",2.0,1.9,1.9,1.9,1.9
"70300  Linnanpelto (Kuopio)",1.9,1.8,1.8,1.8,1.7
"70340  Inkilänmäki (Kuopio)",1.8,1.8,1.8,1.7,1.7
"70400  Kettulanlahti (Kuopio)",2.4,2.4,2.4,2.3,2.3
"70420  Päiväranta (Kuopio)",2.1,2.0,2.0,2.0,2.0
"70460  Saarijärvi (Kuopio)",1.7,1.7,1.7,1.7,1.7
"70500  Männistö (Kuopio)",1.5,1.5,1.5,1.5,1.5
"70600  Niirala-Huuhanmäki (Kuopio)",1.7,1.7,1.7,1.7,1.7
"70620  Haapaniemi (Kuopio)",1.7,1.7,1.7,1.7,1.7
"70700  Särkiniemi (Kuopio)",1.9,1.9,1.8,1.8,1.8
"70780  Jynkkä (Kuopio)",2.1,2.1,2.0,2.0,2.1
"70800  Pitkälahti (Kuopio)",2.3,2.4,2.4,2.5,2.5
"70820  Litmanen (Kuopio)",2.2,2.2,2.1,2.1,2.1
"70840  Jynkänmäki (Kuopio)",2.3,2.3,2.2,2.2,2.2
"70870  Hiltulanlahti (Kuopio)",2.6,2.6,2.6,2.6,2.6
"70900  Toivala (Siilinjärvi)",2.7,2.7,2.6,2.6,2.6
"70910  Vuorela (Siilinjärvi)",2.0,2.0,1.9,1.9,1.9
"70940  Jännevirta (Kuopio)",2.5,2.4,2.4,2.4,2.5
"71130  Kortejoki (Kuopio)",2.4,2.3,2.3,2.2,2.2
"71150  Vartiala (Kuopio)",2.3,2.3,2.3,2.3,2.2
"71160  Riistavesi (Kuopio)",2.1,2.0,2.0,2.0,2.0
"71170  Laukka-aho (Tuusniemi)",2.3,2.4,2.4,2.4,2.4
"71200  Tuusniemi Keskus (Tuusniemi)",1.7,1.7,1.7,1.6,1.6
"71210  Tuusjärvi (Tuusniemi)",2.0,2.0,2.0,1.9,1.9
"71240  Paakkila (Tuusniemi)",1.9,1.9,1.9,1.9,1.9
"71260  Juurikkamäki (Tuusniemi)",1.9,1.9,1.9,1.7,1.7
"71280  Kosula (Tuusniemi)",1.8,1.9,1.8,1.8,1.8
"71310  Vehmersalmi Keskus (Kuopio)",1.9,1.8,1.8,1.8,1.8
"71330  Räsälä (Kuopio)",2.3,2.3,2.3,2.2,2.2
"71360  Litmaniemi (Kuopio)",2.0,2.0,2.0,2.0,2.0
"71380  Mustinlahti (Kuopio)",1.9,1.9,1.9,1.9,1.9
"71460  Paukarlahti (Leppävirta)",2.4,2.3,2.4,2.4,2.4
"71470  Oravikoski (Leppävirta)",2.1,2.0,2.0,2.0,2.0
"71480  Kurkimäki (Kuopio)",2.8,2.8,2.8,2.8,2.8
"71490  Airaksela (Kuopio)",2.4,2.3,2.4,2.3,2.3
"71520  Kaislastenlahti (Kuopio)",2.7,2.7,2.7,2.8,2.8
"71570  Syvänniemi (Kuopio)",2.6,2.5,2.5,2.5,2.5
"71610  Salonkulma (Kuopio)",...,...,...,...,...
"71640  Talluskylä (Tervo)",1.8,1.8,1.7,1.8,1.8
"71650  Hirvilahti-Salonkulma (Kuopio)",2.2,2.2,2.2,2.1,2.2
"71660  Leinolanlahti (Kuopio)",2.0,2.0,2.1,2.0,1.8
"71670  Kurolanlahti (Kuopio)",1.9,1.9,1.9,1.8,1.8
"71680  Pulkonkoski-Saarinen (Kuopio)",2.1,2.0,2.0,2.0,2.0
"71690  Varpasmaa (Kuopio)",...,...,...,...,...
"71720  Käärmelahti (Kuopio)",2.8,2.8,2.8,2.8,2.8
"71730  Kinnulanlahti (Kuopio)",2.3,2.2,2.2,2.2,2.2
"71740  Tavinsalmi (Kuopio)",1.9,2.0,1.9,1.9,1.9
"71745  Haatala (Kuopio)",...,...,...,...,...
"71750  Maaninka Keskus (Kuopio)",1.8,1.8,1.8,1.8,1.8
"71760  Ahkionlahti-Vianta (Kuopio)",2.2,2.1,2.1,2.1,2.2
"71775  Tuovilanlahti-Haatala (Kuopio)",2.1,2.1,2.1,2.1,2.1
"71800  Siilinjärvi Keskus (Siilinjärvi)",2.1,2.1,2.1,2.1,2.1
"71820  Pöljä (Siilinjärvi)",2.6,2.6,2.6,2.5,2.5
"71840  Kuuslahti (Siilinjärvi)",2.6,2.6,2.6,2.5,2.5
"71850  Leppäkaarre (Siilinjärvi)",2.0,2.0,2.0,2.0,2.0
"71870  Harjamäki (Siilinjärvi)",2.5,2.6,2.5,2.4,2.4
"71890  Hamula (Siilinjärvi)",2.7,2.7,2.7,2.7,2.6
"71910  Alapitkä (Lapinlahti)",2.0,2.0,2.0,2.0,1.9
"71920  Pajujärvi (Lapinlahti)",2.4,2.4,2.3,2.4,2.3
"71950  Lammasaho (Kuopio)",2.1,2.0,2.1,2.1,2.1
"71960  Lukkarila (Lapinlahti)",1.9,2.0,2.0,2.0,1.9
