"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 One-person households (TE)","2021 One-person households (TE)","2022 One-person households (TE)","2023 One-person households (TE)","2024 One-person households (TE)"
"04500  Kellokoski (Tuusula)",741,754,753,773,755
"04530  Ohkola (Mäntsälä)",82,75,76,83,84
"04600  Mäntsälä Keskus (Mäntsälä)",2153,2199,2197,2242,2246
"04620  Kaunismäki (Mäntsälä)",189,185,253,258,253
"04630  Sääksjärvi (Mäntsälä)",92,88,92,89,95
"04660  Numminen (Mäntsälä)",149,144,150,150,169
"04680  Hirvihaara (Mäntsälä)",77,69,69,70,64
"04740  Sälinkää (Mäntsälä)",129,126,132,132,138
"04770  Sahakylä (Mäntsälä)",37,40,40,41,38
"04820  Kaukalampi (Mäntsälä)",27,27,27,30,31
"04840  Hautjärvi (Mäntsälä)",37,34,35,32,37
"04920  Saarentaus (Mäntsälä)",58,61,58,57,52
"04940  Levanto (Mäntsälä)",33,34,32,31,35
"05100  Röykkä (Nurmijärvi)",238,240,249,261,243
"05200  Rajamäki (Nurmijärvi)",1000,1003,1015,996,999
"05250  Kiljava (Nurmijärvi)",21,28,26,23,23
"05400  Jokela (Tuusula)",968,974,987,988,974
"05430  Nuppulinna (Tuusula)",99,94,98,98,104
"05440  Hyvinkää (Hyvinkää)",108,145,153,184,180
"05450  Nukari (Nurmijärvi)",105,97,99,107,113
"05460  Hakalanmäki-Hakala (Hyvinkää)",595,597,584,592,596
"05470  Palopuro (Hyvinkää)",35,39,40,39,37
"05510  Päivärinta (Hyvinkää)",91,85,98,107,100
"05620  Noppo (Hyvinkää)",108,121,119,117,115
"05720  Kytäjä (Hyvinkää)",48,50,46,59,60
"05800  Hyvinkää Keskus (Hyvinkää)",3499,3673,3693,3747,3773
"05810  Martti (Hyvinkää)",742,744,796,804,783
"05820  Mustamännistö (Hyvinkää)",830,834,810,807,824
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",1585,1624,1604,1613,1660
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",651,678,686,697,728
"05850  Hyvinkää, sairaala-alue (Hyvinkää)",0,0,0,0,0
"05860  Talvisilta (Hyvinkää)",264,267,274,272,268
"05880  Paavola-Vaivero (Hyvinkää)",912,910,912,958,940
"05900  Vieremä (Hyvinkää)",1322,1351,1384,1412,1415
"05950  Ridasjärvi (Hyvinkää)",58,62,57,55,53
"06100  Porvoo Keskus (Porvoo)",4952,4988,5137,5259,5212
"06150  Kevätkumpu (Porvoo)",1300,1405,1448,1466,1496
"06200  Porvoo itäinen (Porvoo)",271,268,277,269,271
"06400  Gammelbacka (Porvoo)",1447,1490,1540,1533,1564
"06450  Eestinmäki-Ernestas (Porvoo)",350,362,357,367,380
"06500  Saksala-Suomenkylä (Porvoo)",201,215,213,213,213
"06530  Kerkkoo (Porvoo)",81,83,92,110,109
"06650  Hamari (Porvoo)",174,179,179,187,189
"06750  Tolkkinen (Porvoo)",148,146,152,157,161
"06830  Kulloonkylä (Porvoo)",72,78,78,86,82
"06850  Kulloo (Porvoo)",...,...,...,...,...
"06880  Kärrby (Sipoo)",47,47,43,48,39
"06950  Emäsalo (Porvoo)",68,72,67,61,61
"07110  Hinthaara (Porvoo)",134,128,133,133,134
"07130  Anttila (Porvoo)",65,67,69,67,68
"07150  Laukkoski (Pornainen)",96,96,103,114,110
"07170  Keski-Pornainen (Pornainen)",327,338,321,319,329
"07190  Halkia (Pornainen)",122,117,129,120,125
"07220  Kaarenkylä (Porvoo)",47,47,45,42,48
"07230  Monninkylä (Askola)",229,234,244,243,238
"07280  Ilola (Porvoo)",108,104,97,96,95
"07310  Sannainen (Porvoo)",26,29,34,31,30
"07320  Jakari-Sannäs (Porvoo)",54,54,56,57,58
"07350  Gäddrag (Porvoo)",11,10,10,9,13
"07360  Tirmo (Porvoo)",...,...,...,...,...
"07370  Pellinki (Porvoo)",29,32,30,29,27
"07390  Suurpellinki (Porvoo)",15,15,17,17,18
"07410  Kråkö (Porvoo)",50,52,50,51,48
"07450  Voolahti (Porvoo)",50,51,51,49,49
"07500  Askola Kirkonkylä (Askola)",171,154,170,173,178
"07510  Vakkola (Askola)",92,93,98,95,95
"07530  Onkimaa (Askola)",45,46,54,46,50
"07550  Torpinkylä (Pukkila)",38,41,44,51,50
"07560  Pukkila Keskus (Pukkila)",257,261,264,262,271
"07565  Kantele (Pukkila)",37,37,41,39,42
"07580  Tiilää (Askola)",14,13,14,14,15
"07590  Huuvari-Tiilää (Askola)",69,69,65,67,68
"07600  Myrskylä Keskus (Myrskylä)",326,322,313,299,312
"07680  Juornaankylä (Askola)",78,80,88,89,86
"07690  Kankkila (Myrskylä)",20,19,19,23,25
"07700  Koskenkylän saha-alue (Loviisa)",215,207,207,207,203
"07720  Malmgård (Loviisa)",13,14,14,13,14
"07740  Gammelby (Loviisa)",63,66,65,59,62
"07750  Isnäs (Loviisa)",97,94,102,100,109
"07780  Härkäpää (Loviisa)",35,38,35,36,34
"07800  Lapinjärvi Keskus (Lapinjärvi)",195,192,207,209,216
"07810  Ingermaninkylä (Lapinjärvi)",47,43,48,50,45
"07820  Porlammi (Lapinjärvi)",106,108,104,104,102
"07830  Pukaro (Lapinjärvi)",57,56,59,59,54
"07840  Lindkoski (Lapinjärvi)",37,40,40,39,37
"07850  Heikinkylä (Lapinjärvi)",42,41,37,39,39
"07870  Skinnarby (Loviisa)",65,72,71,72,69
"07880  Liljendal Keskus (Loviisa)",179,196,197,184,187
"07890  Mickelspiltom (Loviisa)",33,32,38,36,37
"07900  Loviisa Keskus (Loviisa)",1189,1180,1187,1203,1186
"07910  Valko (Loviisa)",259,256,235,246,249
"07920  Etelä-Harju (Loviisa)",262,270,272,273,288
"07930  Pernaja Kirkonkylä (Loviisa)",104,102,103,120,124
"07940  Määrlahti (Loviisa)",330,329,332,344,343
"07945  Kuggom (Loviisa)",72,75,68,71,75
"07955  Tesjoki (Loviisa)",189,185,183,185,180
"07960  Ahvenkoski (Loviisa)",21,19,22,21,23
"07970  Ruotsinpyhtää Keskus (Loviisa)",133,128,136,136,129
"07980  Kuninkaankylä (Loviisa)",77,77,78,75,74
"07990  Ruotsinkylä-Koskisto (Loviisa)",33,34,35,37,42
"08100  Lohja Keskus (Lohja)",2442,2569,2672,2721,2785
"08150  Keskilohja (Lohja)",764,805,807,794,840
"08200  Ojamo (Lohja)",938,936,970,984,996
"08350  Routio (Lohja)",570,573,571,602,587
"08360  Kisakallio (Lohja)",...,0,0,...,...
"08450  Hormajärvi (Lohja)",53,52,50,48,53
"08480  Karstu (Lohja)",32,33,33,30,28
"08500  Ventelä-Millola (Lohja)",954,979,970,998,1001
"08680  Muijala (Lohja)",180,171,189,188,181
"08700  Virkkala (Lohja)",1381,1429,1424,1436,1461
"08800  Kirkniemi (Lohja)",176,174,174,179,176
"09120  Karjalohja (Lohja)",258,257,253,258,253
"09220  Sammatti (Lohja)",252,243,250,247,243
"09430  Saukkola (Lohja)",264,275,267,269,271
"09520  Millola (Lohja)",23,25,21,25,24
"09630  Koisjärvi (Lohja)",75,74,64,65,61
"09810  Nummi-Oinola (Lohja)",192,188,188,179,181
"09930  Leppäkorpi (Lohja)",56,61,60,64,68
"10120  Tähtelä (Ingå)",79,74,77,75,78
"10140  Päivölä (Ingå)",28,30,29,33,34
"10160  Degerby (Ingå)",91,89,92,98,91
"10210  Inkoo Keskus (Ingå)",508,522,540,558,569
"10230  Inkoo Asemanseutu (Ingå)",43,41,42,46,48
"10250  Fagervik (Ingå)",31,34,27,29,30
"10270  Barösund (Ingå)",26,24,23,23,23
"10300  Karjaa Keskus (Raseborg)",1669,1673,1685,1721,1728
"10320  Bäljars (Raseborg)",251,263,268,267,278
"10330  Pinjainen (Raseborg)",103,102,99,93,95
"10350  Meltolan sairaala-alue (Raseborg)",...,...,...,...,...
"10360  Mustio (Raseborg)",204,205,202,201,193
"10380  Kaunislahti (Raseborg)",13,13,14,12,15
