"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"05810  Martti (Hyvinkää)",54366,56684,56677,60379,64051
"05820  Mustamännistö (Hyvinkää)",50063,51264,54944,57261,56045
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",43922,44956,46553,48996,50211
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",44853,45516,46757,48439,49858
"05850  Hyvinkää, sairaala-alue (Hyvinkää)",0,0,0,0,0
"05860  Talvisilta (Hyvinkää)",42017,42781,44021,46324,48700
"05880  Paavola-Vaivero (Hyvinkää)",33605,34532,36275,37452,39429
"05900  Vieremä (Hyvinkää)",37164,38383,39821,41107,43403
"05950  Ridasjärvi (Hyvinkää)",49642,53540,56181,60653,58289
"06100  Porvoo Keskus (Porvoo)",43798,46726,47172,49119,51578
"06150  Kevätkumpu (Porvoo)",40747,42388,43650,45170,48429
"06200  Porvoo itäinen (Porvoo)",54252,55490,59068,60200,61875
"06400  Gammelbacka (Porvoo)",43141,44783,46301,48825,51658
"06450  Eestinmäki-Ernestas (Porvoo)",49387,51264,53577,54715,59760
"06500  Saksala-Suomenkylä (Porvoo)",56674,59989,59051,61721,64022
"06530  Kerkkoo (Porvoo)",53182,54419,54791,55671,58017
"06650  Hamari (Porvoo)",54297,55130,58784,57842,59921
"06750  Tolkkinen (Porvoo)",59119,61355,62990,65898,71799
"06830  Kulloonkylä (Porvoo)",59189,62476,64414,66024,68961
"06850  Kulloo (Porvoo)",...,...,...,...,...
"06880  Kärrby (Sipoo)",59547,59269,61511,64537,68227
"06950  Emäsalo (Porvoo)",47106,52010,51334,62428,61128
"07110  Hinthaara (Porvoo)",58518,61401,62340,64170,67317
"07130  Anttila (Porvoo)",51524,53332,54760,57453,60153
"07150  Laukkoski (Pornainen)",55115,57267,63136,64385,66492
"07170  Keski-Pornainen (Pornainen)",49047,51069,52522,55072,57637
"07190  Halkia (Pornainen)",53525,55563,57443,59745,61562
"07220  Kaarenkylä (Porvoo)",47909,52905,53630,56447,57834
"07230  Monninkylä (Askola)",48962,48871,51166,53075,56379
"07280  Ilola (Porvoo)",51203,54426,56287,58184,61271
"07310  Sannainen (Porvoo)",54910,57330,58616,61728,63579
"07320  Jakari-Sannäs (Porvoo)",50389,52089,53109,57744,59313
"07350  Gäddrag (Porvoo)",50995,56394,54975,57241,55082
"07360  Tirmo (Porvoo)",...,...,...,...,...
"07370  Pellinki (Porvoo)",47838,55173,49112,52100,54841
"07390  Suurpellinki (Porvoo)",41081,44975,44237,48303,49957
"07410  Kråkö (Porvoo)",49605,51129,52723,54089,57091
"07450  Voolahti (Porvoo)",51548,54523,54378,57251,60257
"07500  Askola Kirkonkylä (Askola)",45561,49162,50378,52690,53204
"07510  Vakkola (Askola)",50025,52022,53360,60517,57413
"07530  Onkimaa (Askola)",47644,49553,49690,52855,56534
"07550  Torpinkylä (Pukkila)",44072,48558,48126,47037,49663
"07560  Pukkila Keskus (Pukkila)",41347,42183,43838,45068,46718
"07565  Kantele (Pukkila)",45052,48115,48196,49119,50089
"07580  Tiilää (Askola)",47783,47942,52038,58987,54124
"07590  Huuvari-Tiilää (Askola)",50450,51594,56746,57569,58947
"07600  Myrskylä Keskus (Myrskylä)",39323,41396,41979,44334,46190
"07680  Juornaankylä (Askola)",42608,46694,44221,46253,49969
"07690  Kankkila (Myrskylä)",43472,44797,52433,52515,47744
"07700  Koskenkylän saha-alue (Loviisa)",44877,46639,48388,50146,52277
"07720  Malmgård (Loviisa)",43754,43400,44731,49762,54323
"07740  Gammelby (Loviisa)",49621,50011,53484,57702,53610
"07750  Isnäs (Loviisa)",40490,41658,42068,45340,46574
"07780  Härkäpää (Loviisa)",47238,46358,51977,50250,55250
"07800  Lapinjärvi Keskus (Lapinjärvi)",35121,36604,36916,39364,41255
"07810  Ingermaninkylä (Lapinjärvi)",41867,43140,44748,47331,69964
"07820  Porlammi (Lapinjärvi)",51068,63944,58879,69470,62257
"07830  Pukaro (Lapinjärvi)",48786,48443,52094,52968,56218
"07840  Lindkoski (Lapinjärvi)",43252,42942,46866,47357,50103
"07850  Heikinkylä (Lapinjärvi)",46583,49678,53657,54241,57274
"07870  Skinnarby (Loviisa)",44538,43743,47045,49820,73092
"07880  Liljendal Keskus (Loviisa)",41684,50254,44938,48324,50354
"07890  Mickelspiltom (Loviisa)",42780,45351,49210,50205,52270
"07900  Loviisa Keskus (Loviisa)",36053,37902,39076,41430,42606
"07910  Valko (Loviisa)",37380,39030,41153,42767,43647
"07920  Etelä-Harju (Loviisa)",43985,42987,44084,46497,47355
"07930  Pernaja Kirkonkylä (Loviisa)",43534,45640,47585,47383,53483
"07940  Määrlahti (Loviisa)",31153,31447,32115,35138,36562
"07945  Kuggom (Loviisa)",42971,46921,47826,50065,50975
"07955  Tesjoki (Loviisa)",43024,44423,48394,48508,51051
"07960  Ahvenkoski (Loviisa)",44104,44707,45448,48315,49315
"07970  Ruotsinpyhtää Keskus (Loviisa)",36806,37758,38891,40767,42688
"07980  Kuninkaankylä (Loviisa)",35661,38607,38270,40762,45304
"07990  Ruotsinkylä-Koskisto (Loviisa)",46543,49134,49651,49507,52384
"08100  Lohja Keskus (Lohja)",38343,39487,40432,42035,44123
"08150  Keskilohja (Lohja)",49211,50234,51320,53392,55245
"08200  Ojamo (Lohja)",34704,35566,37296,39218,40778
"08350  Routio (Lohja)",40367,42498,44531,45784,48074
"08360  Kisakallio (Lohja)",...,0,0,...,...
"08450  Hormajärvi (Lohja)",49383,51454,52990,56935,55592
"08480  Karstu (Lohja)",50427,53856,52065,55781,57186
"08500  Ventelä-Millola (Lohja)",48500,48863,51425,54184,54181
"08680  Muijala (Lohja)",55535,58446,60609,61443,64292
"08700  Virkkala (Lohja)",43153,44098,45320,47117,48678
"08800  Kirkniemi (Lohja)",60037,52710,55046,55759,57616
"09120  Karjalohja (Lohja)",54040,43332,46061,46988,53429
"09220  Sammatti (Lohja)",44721,45426,46836,48541,52045
"09430  Saukkola (Lohja)",45579,47254,48460,50049,51103
"09520  Millola (Lohja)",44639,46018,48666,44598,49245
"09630  Koisjärvi (Lohja)",53400,50571,52299,55574,58605
"09810  Nummi-Oinola (Lohja)",42388,45397,44708,46850,50001
"09930  Leppäkorpi (Lohja)",43494,43447,45431,45907,46354
"10120  Tähtelä (Ingå)",49787,55456,57988,57480,62432
"10140  Päivölä (Ingå)",57207,64513,68296,61744,61503
"10160  Degerby (Ingå)",60705,63095,64923,65875,72652
"10210  Inkoo Keskus (Ingå)",45319,48474,48949,50840,53652
"10230  Inkoo Asemanseutu (Ingå)",50113,53332,57192,54885,61234
"10250  Fagervik (Ingå)",52023,57665,62756,65214,64470
"10270  Barösund (Ingå)",42984,58454,56636,50544,53201
"10300  Karjaa Keskus (Raseborg)",38710,40041,41776,43378,45403
"10320  Bäljars (Raseborg)",37004,38212,40135,40444,42486
"10330  Pinjainen (Raseborg)",41365,44195,44842,47649,47656
"10350  Meltolan sairaala-alue (Raseborg)",...,...,...,...,...
"10360  Mustio (Raseborg)",45463,46214,47278,49515,51705
"10380  Kaunislahti (Raseborg)",44019,43311,45672,49608,51433
"10410  Åminnefors (Raseborg)",34214,36286,36035,37861,38352
"10420  Pohjankuru (Raseborg)",36258,36991,38111,40011,41413
"10440  Bollsta (Raseborg)",35859,37649,39530,40692,42535
"10470  Fiskari (Raseborg)",41255,40930,42367,43345,44033
"10480  Antskog (Raseborg)",42067,43916,44887,46188,52412
"10520  Tenhola Kirkonkylä (Raseborg)",42275,43238,45463,46962,48591
"10570  Bromarv (Raseborg)",40640,45594,48243,48771,50446
"10600  Tammisaari Keskus (Raseborg)",40475,41637,41922,43865,46648
"10620  Tammisaari (Raseborg)",42384,44227,45863,47868,49783
"10640  Dragsvik (Raseborg)",45968,45813,48859,51354,53359
"10650  Flyet (Raseborg)",37919,39591,41208,42726,44682
"10660  Trollböle (Raseborg)",37197,39157,41118,41699,43702
