"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"64830  Villamo (Isojoki)",36063,38921,38105,42488,41545
"64840  Heikkilänjoki (Isojoki)",...,...,...,...,...
"64850  Möykky (Isojoki)",41550,45565,50219,42477,47658
"64900  Isojoki Keskus (Isojoki)",35851,37403,39018,41649,42370
"64930  Kodesjärvi (Isojoki)",36541,37260,39195,41223,45988
"65100  Vaasa Keskus (Vaasa)",30978,32236,33270,34308,35825
"65130  Hietalahti (Vaasa)",0,0,0,0,0
"65170  Vaskiluoto (Vaasa)",69046,142357,96219,98712,98585
"65200  Palosaari (Vaasa)",28806,29819,30352,31031,32640
"65230  Vetokannas (Vaasa)",46164,48102,50044,52030,53889
"65280  Gerby (Vaasa)",53781,55339,56709,57984,61274
"65300  Asevelikylä (Vaasa)",56210,60067,61480,63458,68868
"65320  Huutoniemi (Vaasa)",40011,41100,42336,43817,45549
"65350  Suvilahti (Vaasa)",36318,37652,38571,38956,40465
"65370  Ristinummi (Vaasa)",33502,34404,35133,36139,37242
"65380  Vanha Vaasa (Vaasa)",40706,42058,43499,46549,47215
"65410  Sundom (Vaasa)",54794,58293,60197,61638,67404
"65450  Sulva (Korsholm)",51463,53558,55576,57444,60048
"65460  Tölby-Rimal (Korsholm)",53823,59264,60787,64331,66800
"65470  Rimal (Korsholm)",...,...,...,...,...
"65480  Vikby (Korsholm)",49176,50689,51440,52350,55953
"65520  Helsingby (Korsholm)",47987,49723,51299,53996,56572
"65610  Mustasaari Keskus (Korsholm)",46640,50458,50787,51605,54496
"65630  Karperö (Korsholm)",54339,57790,59553,62904,65770
"65650  Koskö (Korsholm)",49305,48184,51238,53477,56230
"65710  Singsby (Korsholm)",51871,55496,56343,60308,63142
"65730  Jungsund (Korsholm)",51967,51391,53177,55862,58176
"65760  Iskmo (Korsholm)",56574,57567,56082,60763,71768
"65800  Raippaluoto (Korsholm)",47723,49549,51193,54047,56307
"65870  Björköby (Korsholm)",42159,44714,46640,49382,50297
"65920  Norra Vallgrund-Söderudden (Korsholm)",46507,47825,49785,52206,55191
"65930  Södra Vallgrund (Korsholm)",43248,46435,46515,48400,50387
"65970  Söderudden (Korsholm)",37046,38720,40500,40265,42616
"66100  Maalahti (Malax)",43728,45427,46511,48395,51967
"66140  Övermalax (Malax)",40789,43057,45498,47422,49391
"66160  Långåminne (Malax)",41370,42265,44333,47765,48310
"66200  Korsnäs Keskus (Korsnäs)",42888,44735,46151,45619,48413
"66210  Moikipää (Korsnäs)",47936,49171,47451,49737,52048
"66220  Bergö (Malax)",36282,38874,39175,41022,42929
"66230  Korsbäck (Korsnäs)",38498,36906,39772,43232,43673
"66240  Petolahti (Malax)",41262,42400,43315,44962,46710
"66260  Svarvar (Malax)",37457,39634,42615,43906,46184
"66270  Pirttikylä-Sorvari (Närpes)",40888,43817,44048,47873,49937
"66280  Taklax (Korsnäs)",39162,38616,39570,42687,42634
"66290  Harrström (Korsnäs)",42107,45517,46338,48323,49279
"66295  Töjby (Närpes)",42577,44339,45305,46819,48470
"66300  Jurva Keskus (Kurikka)",37173,37326,39000,40630,42124
"66320  Niemenkylä (Kurikka)",38874,39068,40819,43415,46350
"66330  Hakko (Kurikka)",34473,36253,38175,40969,41568
"66340  Sarvijoki (Kurikka)",41256,42913,45451,43050,44623
"66350  Tainus (Kurikka)",41230,41688,43600,46972,48542
"66360  Kesti (Kurikka)",41911,42840,67731,45697,48847
"66370  Närvijoki (Kurikka)",35962,36421,39343,41787,42416
"66400  Laihia Keskus (Laihia)",43071,44641,46229,48509,50110
"66420  Ruto (Laihia)",50803,53323,54149,54340,58759
"66430  Vedenoja (Vaasa)",55009,49039,49857,48226,52788
"66440  Tervajoki (Isokyrö)",41710,42969,45268,46817,47638
"66450  Jakkula (Laihia)",44485,46993,48811,51312,52903
"66460  Haapala (Laihia)",46408,47290,51054,52491,56194
"66470  Jukaja-Jokisalo (Laihia)",45592,46514,48432,49602,49164
"66500  Vähäkyrö Keskus (Vaasa)",40967,43746,44625,45786,48477
"66510  Merikaarto (Vaasa)",48792,50389,52882,54771,55877
"66520  Veikkaala (Korsholm)",43987,46382,50221,50748,53235
"66530  Koivulahti (Korsholm)",45587,47197,50598,52247,54199
"66540  Petsmo (Korsholm)",44742,48656,48532,51886,54842
"66550  Västerhankmo (Korsholm)",45703,49732,50404,52587,55290
"66560  Österhankmo (Korsholm)",43908,46939,50523,58133,59531
"66580  Kuni (Korsholm)",47198,49550,50552,53121,55254
"66590  Vassor (Korsholm)",44812,46572,48546,49260,52146
"66600  Vöyri Keskus (Vörå)",42984,45060,46655,47802,50610
"66640  Maksamaa (Vörå)",45006,45820,48849,49032,50433
"66660  Bertby (Vörå)",49360,55026,52439,55488,59002
"66680  Kaurajärvi (Vörå)",43287,43042,49484,47931,50900
"66710  Kaitsor (Vörå)",51057,52961,50376,54584,58937
"66730  Oxkangar (Vörå)",...,...,...,...,...
"66800  Oravainen Keskus (Vörå)",45923,47344,47342,48988,52152
"66810  Kimo (Vörå)",46751,48703,50714,51950,53135
"66820  Komossa (Vörå)",44620,48091,50712,52687,56517
"66830  Oravaisten Tehdas (Vörå)",43571,44812,44363,44761,48626
"66840  Pensala (Nykarleby)",48321,49582,51483,56919,54939
"66850  Jepua (Nykarleby)",54080,56339,56097,58875,63079
"66900  Uusikaarlepyy Keskus (Nykarleby)",41673,47150,44659,48050,48255
"66910  Soklot (Nykarleby)",54072,56211,55781,58351,64115
"66930  Kovjoki (Nykarleby)",48514,51643,54809,57969,57831
"66950  Munsala (Nykarleby)",46828,49227,49148,55233,55034
"66970  Hirvlax (Nykarleby)",43630,44141,44926,48081,54441
"66980  Monå (Nykarleby)",43874,51307,50694,54307,55697
"66999  Kaukaluoto (Korsholm)",...,...,...,...,...
"67100  Kokkola Keskus (Kokkola)",33255,34426,35515,36274,38723
"67200  Kiviniitty-Tullimäki (Kokkola)",35090,36394,37945,39744,41384
"67300  Halkokari (Kokkola)",48086,49285,51082,53177,54344
"67400  Rytimäki (Kokkola)",50595,52989,55000,57140,59544
"67410  Vitsari (Kokkola)",46997,51330,50574,52594,54239
"67500  Sokoja (Kokkola)",51181,53706,58882,59717,60119
"67600  Linnusperä-Kaustari (Kokkola)",55256,57100,60168,59091,62385
"67700  Kirkonmäki-Isokylä (Kokkola)",52827,52899,55031,55689,58786
"67800  Koivuhaka (Kokkola)",32929,33498,34561,36472,37062
"67900  Ykspihjala (Kokkola)",40715,41686,43487,45639,47346
"68100  Himanka Keskus (Kalajoki)",38235,39703,42687,44074,45600
"68150  Hillilä (Kalajoki)",45913,48081,48942,52443,53335
"68210  Marinkainen (Kokkola)",44575,46610,48221,49733,50935
"68220  Karhi (Kokkola)",53660,55217,56466,57488,59403
"68230  Lohtaja Keskus (Kokkola)",42961,43785,45785,45464,47795
"68240  Ala-Viirre (Kokkola)",41044,43342,45633,46263,48830
"68300  Kälviä Keskus (Kokkola)",43482,45929,47107,49173,51740
"68320  Ruotsalo (Kokkola)",50622,57253,53048,58795,57928
"68370  Ullava Keskus (Kokkola)",39959,40726,44162,45664,49111
"68380  Yli-Ullava (Kokkola)",43711,49530,47782,49400,52203
"68390  Rahkonen (Kokkola)",52448,50415,51006,55100,54307
"68410  Alaveteli (Kronoby)",47787,49538,52529,54665,56749
"68500  Kruunupyy Keskus (Kronoby)",44628,47186,48556,50623,52409
"68530  Lepplax (Pedersöre)",59040,71740,67239,69499,70786
"68550  Öja (Kokkola)",46161,49471,51739,54510,56242
"68555  Bosund (Larsmo)",53865,58068,60155,60761,64723
"68560  Eugmo (Larsmo)",58327,86316,62235,64676,65168
"68570  Luoto (Larsmo)",50831,54861,57616,58264,59804
"68580  Furuholmen (Larsmo)",54459,55536,57262,59197,61302
"68600  Pietarsaari Keskus (Jakobstad)",40969,43820,43721,45228,46682
"68620  Skutnäs-Västermalm (Jakobstad)",43838,48432,44457,45830,49777
"68630  Kyrkostrand (Jakobstad)",46454,47392,48860,50783,52720
"68660  Östermalm-Björnholmen (Jakobstad)",36901,38623,39155,40992,43390
"68690  Sundby (Pedersöre)",46305,53296,49813,50646,52296
"68700  Teerijärvi (Kronoby)",54613,58703,56976,54700,57087
"68750  Småbönders (Kronoby)",41768,43450,45891,46466,48834
"68800  Kolppi (Pedersöre)",51660,53725,54615,56770,57993
"68810  Ytteresse (Pedersöre)",55381,57022,59897,61587,63229
"68820  Ähtävä (Pedersöre)",49760,48398,50196,54251,55400
"68830  Bäckby (Pedersöre)",44352,46187,48370,54408,55619
"68840  Nederlappfors (Pedersöre)",43515,43568,46044,48671,52272
"68870  Edsevö (Pedersöre)",40700,41407,42636,44710,46358
"68910  Pännäinen (Pedersöre)",56987,58966,52204,54057,57175
"68920  Forsby (Pedersöre)",47859,51060,53206,59606,55144
"68930  Purmo (Pedersöre)",45974,48740,51619,54281,55087
"68940  Lillby (Pedersöre)",44682,48230,49514,52817,52626
"68970  Överpurmo (Pedersöre)",41276,42458,45141,45548,46653
"68999  Rita (Kokkola)",48876,51726,48243,53739,53200
"69100  Kannus Keskus (Kannus)",40215,41968,43142,44603,46618
"69150  Eskola (Kannus)",36943,38231,37182,39351,40756
"69170  Yli-Kannus (Kannus)",46522,49252,52380,51448,51723
"69300  Toholampi Keskus (Toholampi)",38212,39556,40992,42917,44466
"69310  Laitala (Toholampi)",44984,47547,46243,47202,49110
"69330  Määttälä (Toholampi)",39119,40597,40281,43991,45142
"69340  Purontaka (Toholampi)",49917,51895,55137,56220,62655
"69410  Sykäräinen (Toholampi)",41116,42455,42572,44359,46963
"69420  Syri (Lestijärvi)",...,...,...,...,...
"69440  Lestijärvi Keskus (Lestijärvi)",37680,37678,41086,43135,46692
"69450  Yli-Lesti (Lestijärvi)",38286,42875,44745,47137,49260
"69510  Halsua Keskus-Marjusaari (Halsua)",39434,41195,41758,42844,44628
"69550  Kanala (Halsua)",33599,35991,38442,41944,42387
"69570  Karvonen (Halsua)",38768,35904,39085,42091,45159
"69600  Kaustinen Keskus (Kaustinen)",41061,43127,43734,46073,47260
"69660  Köyhäjoki (Kaustinen)",45509,47846,47434,49516,52304
"69700  Veteli Keskus (Veteli)",38564,39012,39399,41380,43488
"69730  Tunkkari (Veteli)",42577,44837,45524,47886,49997
"69750  Sillanpää (Veteli)",41595,40405,44213,44643,46452
"69820  Räyrinki (Veteli)",40809,43506,43978,46488,48360
"69830  Pulkkinen (Veteli)",39123,39081,39754,43528,44560
"69850  Patana (Veteli)",43127,47333,46948,47148,47275
"69910  Kivikangas (Perho)",...,...,...,...,...
"69920  Oksakoski-Kivikangas (Perho)",40762,42621,44005,45958,46690
"69950  Perho Keskus-Salamajärvi (Perho)",37276,38292,40090,42412,44026
"69970  Salamajärvi (Perho)",...,...,...,...,...
"69980  Möttönen (Perho)",45504,49542,52118,52981,53485
"70100  Kuopio Keskus (Kuopio)",34754,35932,37028,38289,39807
"70110  Etu-Niirala (Kuopio)",29786,30733,30907,32230,33697
"70150  Neulamäki (Kuopio)",29290,30236,30994,32252,33329
"70200  Puijonlaakso (Kuopio)",30636,31060,31822,33192,34554
"70210  Kuopion Keskussairaala-alue (Kuopio)",0,0,...,...,...
"70240  Niuvaniemen Sairaala-alue (Kuopio)",49416,38735,56386,47335,45705
"70260  Julkula (Kuopio)",46176,45767,46888,47764,50004
"70280  Länsi-Puijo (Kuopio)",38126,39187,40266,41803,42947
"70300  Linnanpelto (Kuopio)",41590,43387,43838,45480,46869
"70340  Inkilänmäki (Kuopio)",35965,36229,37450,38538,39655
"70400  Kettulanlahti (Kuopio)",57886,59712,61243,64415,65924
"70420  Päiväranta (Kuopio)",41258,42042,43473,44870,46678
"70460  Saarijärvi (Kuopio)",30428,31026,32175,33182,34678
"70500  Männistö (Kuopio)",30920,31476,32348,33891,35226
"70600  Niirala-Huuhanmäki (Kuopio)",34911,36737,36930,38888,39733
"70620  Haapaniemi (Kuopio)",35725,36626,37219,39695,40603
"70700  Särkiniemi (Kuopio)",35085,35598,37162,38365,40042
"70780  Jynkkä (Kuopio)",40214,41503,42727,44271,45863
"70800  Pitkälahti (Kuopio)",49385,52693,55203,57512,60463
"70820  Litmanen (Kuopio)",42983,44053,45558,47056,48765
"70840  Jynkänmäki (Kuopio)",52460,54553,56761,59470,61855
"70870  Hiltulanlahti (Kuopio)",55709,57581,57862,61780,63144
"70900  Toivala (Siilinjärvi)",54631,55878,57657,60545,63962
"70910  Vuorela (Siilinjärvi)",40551,41340,44453,44305,45991
"70940  Jännevirta (Kuopio)",53297,57977,59502,60229,65379
"71130  Kortejoki (Kuopio)",48720,51539,55090,56778,57841
"71150  Vartiala (Kuopio)",47473,49395,53986,56818,57394
"71160  Riistavesi (Kuopio)",41405,44401,44879,47822,48564
"71170  Laukka-aho (Tuusniemi)",37987,48021,43227,47587,48089
"71200  Tuusniemi Keskus (Tuusniemi)",31214,32237,33407,35104,37026
"71210  Tuusjärvi (Tuusniemi)",40762,43482,44096,45201,46731
"71240  Paakkila (Tuusniemi)",39421,40910,43182,44817,45903
"71260  Juurikkamäki (Tuusniemi)",31834,36598,37443,37732,41454
"71280  Kosula (Tuusniemi)",33233,37261,39427,38306,43045
"71310  Vehmersalmi Keskus (Kuopio)",37566,38068,40445,42163,44290
"71330  Räsälä (Kuopio)",46007,56956,53366,53655,56898
"71360  Litmaniemi (Kuopio)",39971,44342,44480,46471,49086
"71380  Mustinlahti (Kuopio)",38586,39141,47575,44227,44130
"71460  Paukarlahti (Leppävirta)",49585,51290,57084,56847,58266
"71470  Oravikoski (Leppävirta)",42175,43964,46404,47351,49468
"71480  Kurkimäki (Kuopio)",54967,58138,61648,61212,62597
"71490  Airaksela (Kuopio)",44587,46643,50977,51109,52802
"71520  Kaislastenlahti (Kuopio)",55791,57993,61210,63262,66480
"71570  Syvänniemi (Kuopio)",50990,52687,58191,58614,60705
"71610  Salonkulma (Kuopio)",...,...,...,...,...
"71640  Talluskylä (Tervo)",32873,37448,37099,39975,42476
"71650  Hirvilahti-Salonkulma (Kuopio)",45979,48059,50809,51825,54165
"71660  Leinolanlahti (Kuopio)",38786,42470,44000,46401,44357
"71670  Kurolanlahti (Kuopio)",37384,38625,37752,41417,43419
"71680  Pulkonkoski-Saarinen (Kuopio)",40199,43778,48979,45943,45043
"71690  Varpasmaa (Kuopio)",...,...,...,...,...
"71720  Käärmelahti (Kuopio)",53584,55946,60509,61711,65170
"71730  Kinnulanlahti (Kuopio)",47481,49555,50421,52012,54846
"71740  Tavinsalmi (Kuopio)",64869,44424,41776,43454,46395
"71745  Haatala (Kuopio)",...,...,...,...,...
"71750  Maaninka Keskus (Kuopio)",34878,36346,36825,38919,41260
"71760  Ahkionlahti-Vianta (Kuopio)",42553,51177,47059,47734,49240
"71775  Tuovilanlahti-Haatala (Kuopio)",41024,42656,43776,50236,53390
"71800  Siilinjärvi Keskus (Siilinjärvi)",41313,42874,45030,45664,47693
"71820  Pöljä (Siilinjärvi)",48474,49489,51190,53588,55724
"71840  Kuuslahti (Siilinjärvi)",49865,51082,54156,53367,55628
"71850  Leppäkaarre (Siilinjärvi)",38524,39231,40821,41175,43043
"71870  Harjamäki (Siilinjärvi)",47208,49517,55350,51184,51901
"71890  Hamula (Siilinjärvi)",55256,55634,58227,60307,60900
"71910  Alapitkä (Lapinlahti)",39917,43931,44819,47539,50106
"71920  Pajujärvi (Lapinlahti)",43244,45158,46146,50073,51337
"71950  Lammasaho (Kuopio)",42386,41616,43822,47219,49515
"71960  Lukkarila (Lapinlahti)",37960,40753,44355,46820,47000
"72100  Karttula Keskus (Kuopio)",35266,37676,38636,40547,41535
"72140  Itä-Karttula-Riuttasenpää (Kuopio)",...,...,...,...,...
"72210  Tervo Keskus-Eliaksela (Tervo)",35006,36129,37884,37782,39264
"72220  Eliaksela (Tervo)",...,...,...,...,...
"72300  Vesanto Keskus (Vesanto)",31998,33083,34094,35932,37977
"72310  Niinivesi (Vesanto)",35466,35395,40081,39078,40517
"72330  Tiitilänkylä (Vesanto)",37316,45003,44459,43033,46135
"72350  Pienola (Vesanto)",37266,39797,39803,42430,44025
"72360  Närhilä (Vesanto)",29497,30117,32375,36337,38555
"72380  Horontaipale (Vesanto)",39088,41730,42144,43710,47425
"72400  Pielavesi Keskus-Jylänki (Pielavesi)",32175,33167,33973,36107,36856
"72430  Kumpula (Pielavesi)",39253,40747,43189,43378,44852
"72490  Saarinen (Kuopio)",...,...,...,...,...
"72510  Jokijärvi (Pielavesi)",34819,30831,32854,33119,39394
"72530  Säviäntaipale (Pielavesi)",40058,40590,41146,43605,48580
"72550  Säviä (Pielavesi)",36239,37342,41462,43394,44865
"72570  Vuorikylä (Pielavesi)",38575,41213,41543,47611,46282
"72600  Keitele Keskus (Keitele)",36076,38908,52477,39036,40659
"72630  Kuusela-Rajala (Keitele)",48096,48440,54155,48970,47791
"72710  Vaaraslahti (Pielavesi)",43576,44783,45777,49307,50714
"72740  Laukkala (Pielavesi)",35220,37634,41031,45475,46936
"72810  Jylhänkylä (Pielavesi)",37274,43529,44779,47892,45500
"72840  Saarela (Pielavesi)",35058,36646,44109,47272,48342
"72930  Tossavanlahti (Keitele)",32951,35123,35602,35750,37977
"72950  Porttila (Keitele)",38674,44229,47249,48206,54638
"72980  Petäjäkylä (Keitele)",34816,37058,39316,35958,40236
"73100  Lapinlahti Keskus (Lapinlahti)",36303,36993,38130,39465,41470
"73110  Mäntylahti-Karvasalmi (Lapinlahti)",39011,40727,41061,44794,46019
"73120  Nerkoo-Horsmanmäki (Lapinlahti)",45911,48482,49904,52872,53717
"73200  Varpaisjärvi Keskus (Lapinlahti)",31518,33192,34768,36556,37687
"73230  Syvärinpää (Lapinlahti)",43643,49056,47005,50674,51900
"73250  Korpijärvi (Lapinlahti)",35581,39952,41132,41357,42198
"73300  Nilsiä Keskus (Kuopio)",33403,33617,34695,35664,37146
"73310  Tahkovuori (Kuopio)",70812,114375,73997,83068,84069
"73320  Reittiö (Kuopio)",43631,45062,46611,49180,50115
"73350  Haluna (Kuopio)",45017,47240,47260,51422,49603
"73360  Pajulahti (Kuopio)",45443,48035,49541,52276,53331
"73410  Pieksänkoski (Kuopio)",42080,46415,47457,50080,52207
"73460  Muuruvesi (Kuopio)",33373,35498,36450,39722,39888
"73470  Västinniemi (Kuopio)",40227,45627,46268,48812,49048
"73500  Juankoski Keskus (Kuopio)",34367,35760,36432,37987,39577
"73600  Kaavi Keskus (Kaavi)",32751,33064,34906,36694,38294
"73620  Kortteinen-Rasilampi (Kaavi)",36892,37284,38611,41540,41339
"73640  Sivakkavaara (Kaavi)",28909,30195,35325,37190,38695
"73645  Niinivaara-Onnivaara (Kaavi)",34687,42084,42198,38692,40340
"73670  Luikonlahti (Kaavi)",36574,38206,38619,40438,43700
"73710  Viitaniemi (Kuopio)",36993,41049,39963,43308,44456
"73730  Losomäki (Kuopio)",28434,30657,33239,33312,36641
"73770  Säyneinen-Ala-Siikajärvi (Kuopio)",37918,40766,40588,41601,43650
"73810  Palonurmi-Aholansaari (Kuopio)",37621,38034,43866,43423,44366
"73830  Keski-Siikajärvi (Kuopio)",40504,42781,40015,44068,51364
"73850  Ala-Luosta-Riitasalo (Rautavaara)",40444,38129,41039,52901,48276
"73900  Rautavaara Keskus (Rautavaara)",30308,31098,32396,34784,35495
"73970  Riitasalo (Rautavaara)",...,...,...,...,...
"73990  Kangaslahti (Rautavaara)",38872,38772,38113,38449,41109
"74100  Iisalmi Keskus, Eteläinen (Iisalmi)",29707,31220,31898,32780,34480
"74120  Iisalmi Keskus Pohjoinen (Iisalmi)",35950,36653,38523,39408,40533
"74130  Kihmula (Iisalmi)",38072,39818,41472,42865,44723
"74140  Ritoniemi (Iisalmi)",45217,48022,50102,51832,54883
"74150  Laidunmäki (Iisalmi)",43431,44406,47266,48411,50214
"74160  Koljonvirta (Iisalmi)",51457,53275,55948,58381,60575
"74170  Soinlahti (Iisalmi)",49386,50920,56986,55549,55288
"74200  Vieremä Keskus (Vieremä)",36593,37720,39014,40619,41874
"74230  Salahmi (Vieremä)",45462,46630,48570,48453,51657
"74240  Marttisenjärvi (Vieremä)",38194,40833,42700,43747,47681
"74250  Nissilä (Vieremä)",36242,36020,35538,40248,44650
"74270  Kauppilanmäki (Vieremä)",55583,66250,68484,69305,69788
"74300  Sonkajärvi Keskus (Sonkajärvi)",35943,37195,40359,41520,42861
"74340  Sukeva-Kainuunmäki (Sonkajärvi)",32963,35142,34434,35218,36781
"74345  Kalliosuo (Sonkajärvi)",27505,28969,29895,28751,30436
"74360  Sonkakoski (Sonkajärvi)",37011,41714,39960,43350,44657
"74380  Jyrkkä (Sonkajärvi)",33228,32534,35457,34348,33553
"74390  Laakajärvi (Sotkamo)",38790,38982,...,...,...
"74420  Hernejärvi (Sonkajärvi)",42805,43045,46970,46946,49680
"74470  Paloinen (Lapinlahti)",36497,39794,39858,41987,43202
"74490  Koirakoski (Sonkajärvi)",33089,31959,35368,36705,39047
"74510  Peltosalmi-Sourunsalo (Iisalmi)",33803,35392,36148,38450,39462
"74520  Kirmanranta (Iisalmi)",50572,50948,51578,53453,53269
"74540  Kotikylä (Iisalmi)",43347,44583,44868,46594,47352
"74550  Pörsänmäki (Iisalmi)",31160,38969,33794,36866,42004
"74590  Kurenpolvi (Vieremä)",49036,50436,52211,54486,61079
"74595  Runni (Iisalmi)",39050,40676,43749,45436,45808
"74610  Honkaranta (Kiuruvesi)",41705,42846,44703,46376,47613
"74630  Heinäkylä (Kiuruvesi)",39856,42687,44797,46165,49578
"74640  Sulkavanjärvi (Kiuruvesi)",36635,39764,40106,45591,44763
"74670  Rapakkojoki (Kiuruvesi)",39188,40924,44717,60907,50735
"74680  Myllyniemi (Kiuruvesi)",42579,46819,45709,50811,52436
"74700  Kiuruvesi Keskus (Kiuruvesi)",33121,34270,35290,36953,38300
"74720  Niemiskylä (Kiuruvesi)",43752,45718,45794,47284,49289
"74740  Aittojärvi (Kiuruvesi)",37469,38950,41107,42188,45671
"74770  Kalliokylä (Kiuruvesi)",...,...,...,...,...
"74840  Koppeloharju (Kiuruvesi)",41590,45026,44960,47697,46777
"74940  Remeskylä-Tihilänkangas (Kiuruvesi)",40968,48594,45750,52986,50150
"74980  Tihilänkangas (Kiuruvesi)",...,...,...,...,...
"75500  Nurmes Keskus (Nurmes)",33017,33933,35161,36918,38255
"75530  Porokylä (Nurmes)",32569,33740,34533,35431,37197
"75650  Savikylä (Nurmes)",38415,39763,40751,43237,46696
"75680  Ylä-Luosta (Rautavaara)",36333,37799,38103,42313,40676
"75700  Valtimo Keskus (Nurmes)",31381,32241,32374,34639,35885
"75710  Karhunpää (Nurmes)",41230,42333,45566,47354,48812
