"12ez -- 2. Educational structure, 2010-2024"

"Postal code area","Academic degree - Higher university level degree (KO) 2020","Academic degree - Higher university level degree (KO) 2021","Academic degree - Higher university level degree (KO) 2022","Academic degree - Higher university level degree (KO) 2023","Academic degree - Higher university level degree (KO) 2024"
"04260  Savio (Kerava)",448,463,466,489,504
"04300  Hyrylä (Tuusula)",1046,1132,1207,1301,1356
"04310  Tuusula Kirkonkylä (Tuusula)",377,381,385,395,413
"04320  Riihikallio (Tuusula)",359,374,393,395,408
"04330  Lahela (Tuusula)",276,293,310,341,366
"04340  Mattila (Tuusula)",249,254,273,284,272
"04350  Nahkela (Tuusula)",35,34,34,36,41
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",74,82,78,75,82
"04370  Rusutjärvi (Tuusula)",47,45,44,43,51
"04380  Tuomala (Tuusula)",71,76,80,80,76
"04390  Jäniksenlinna (Tuusula)",16,20,21,22,24
"04400  Loutti (Järvenpää)",1187,1272,1361,1404,1438
"04410  Järvenpää Keskus (Järvenpää)",864,920,974,1028,1052
"04420  Kyrölä (Järvenpää)",479,501,522,550,588
"04430  Kinnari-Mikonkorpi (Järvenpää)",990,1025,1048,1078,1131
"04440  Jamppa (Järvenpää)",253,260,267,272,273
"04460  Nummenkylä (Järvenpää)",166,177,173,176,180
"04480  Haarajoki (Järvenpää)",221,232,238,259,265
"04500  Kellokoski (Tuusula)",352,372,385,401,422
"04530  Ohkola (Mäntsälä)",45,56,59,63,67
"04600  Mäntsälä Keskus (Mäntsälä)",472,507,520,548,572
"04620  Kaunismäki (Mäntsälä)",228,232,237,239,249
"04630  Sääksjärvi (Mäntsälä)",48,47,46,51,49
"04660  Numminen (Mäntsälä)",67,70,75,79,82
"04680  Hirvihaara (Mäntsälä)",30,31,34,35,41
"04740  Sälinkää (Mäntsälä)",36,40,39,43,48
"04770  Sahakylä (Mäntsälä)",10,10,9,9,9
"04820  Kaukalampi (Mäntsälä)",16,17,18,18,18
"04840  Hautjärvi (Mäntsälä)",10,9,11,7,8
"04920  Saarentaus (Mäntsälä)",17,16,13,15,16
"04940  Levanto (Mäntsälä)",13,14,17,18,19
"05100  Röykkä (Nurmijärvi)",113,122,132,133,143
"05200  Rajamäki (Nurmijärvi)",482,497,536,571,601
"05250  Kiljava (Nurmijärvi)",8,7,7,7,7
"05400  Jokela (Tuusula)",529,544,564,582,591
"05430  Nuppulinna (Tuusula)",72,73,77,81,82
"05440  Hyvinkää (Hyvinkää)",122,138,167,191,209
"05450  Nukari (Nurmijärvi)",72,75,80,81,79
"05460  Hakalanmäki-Hakala (Hyvinkää)",171,178,182,186,190
"05470  Palopuro (Hyvinkää)",24,23,23,23,22
"05510  Päivärinta (Hyvinkää)",27,24,24,25,23
"05620  Noppo (Hyvinkää)",88,82,84,87,89
"05720  Kytäjä (Hyvinkää)",48,48,55,60,65
"05800  Hyvinkää Keskus (Hyvinkää)",726,758,753,777,802
"05810  Martti (Hyvinkää)",585,612,634,645,667
"05820  Mustamännistö (Hyvinkää)",376,384,403,401,422
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",635,648,641,663,684
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",239,234,240,246,245
"05850  Hyvinkää, sairaala-alue (Hyvinkää)",0,0,0,0,0
"05860  Talvisilta (Hyvinkää)",62,58,59,70,72
"05880  Paavola-Vaivero (Hyvinkää)",104,116,121,131,137
"05900  Vieremä (Hyvinkää)",363,375,383,393,415
"05950  Ridasjärvi (Hyvinkää)",20,22,20,20,21
"06100  Porvoo Keskus (Porvoo)",2255,2371,2478,2547,2616
"06150  Kevätkumpu (Porvoo)",340,360,398,422,452
"06200  Porvoo itäinen (Porvoo)",196,204,209,228,232
"06400  Gammelbacka (Porvoo)",508,538,567,612,638
"06450  Eestinmäki-Ernestas (Porvoo)",158,164,168,182,193
"06500  Saksala-Suomenkylä (Porvoo)",167,171,173,173,180
"06530  Kerkkoo (Porvoo)",61,63,65,66,66
"06650  Hamari (Porvoo)",138,142,144,145,148
"06750  Tolkkinen (Porvoo)",173,198,217,233,236
"06830  Kulloonkylä (Porvoo)",93,96,93,93,97
"06850  Kulloo (Porvoo)",...,...,...,...,...
"06880  Kärrby (Sipoo)",34,35,37,35,34
"06950  Emäsalo (Porvoo)",23,23,28,28,30
"07110  Hinthaara (Porvoo)",104,109,113,121,132
"07130  Anttila (Porvoo)",48,52,52,50,49
"07150  Laukkoski (Pornainen)",69,78,79,83,88
"07170  Keski-Pornainen (Pornainen)",123,124,132,131,143
"07190  Halkia (Pornainen)",65,68,67,70,72
"07220  Kaarenkylä (Porvoo)",26,26,25,28,26
"07230  Monninkylä (Askola)",79,75,77,81,83
"07280  Ilola (Porvoo)",57,62,58,59,64
"07310  Sannainen (Porvoo)",37,45,43,40,42
"07320  Jakari-Sannäs (Porvoo)",26,26,26,30,30
"07350  Gäddrag (Porvoo)",3,5,4,5,6
"07360  Tirmo (Porvoo)",2,2,1,1,1
"07370  Pellinki (Porvoo)",5,6,6,6,7
"07390  Suurpellinki (Porvoo)",3,3,3,4,4
"07410  Kråkö (Porvoo)",23,22,22,24,23
"07450  Voolahti (Porvoo)",15,17,19,20,21
"07500  Askola Kirkonkylä (Askola)",55,59,61,58,57
"07510  Vakkola (Askola)",26,28,31,29,32
"07530  Onkimaa (Askola)",10,12,12,14,14
"07550  Torpinkylä (Pukkila)",5,7,6,9,8
"07560  Pukkila Keskus (Pukkila)",40,45,43,45,41
"07565  Kantele (Pukkila)",9,9,10,11,11
"07580  Tiilää (Askola)",3,3,3,4,5
"07590  Huuvari-Tiilää (Askola)",30,32,31,31,29
"07600  Myrskylä Keskus (Myrskylä)",62,58,58,62,61
"07680  Juornaankylä (Askola)",13,12,12,12,15
"07690  Kankkila (Myrskylä)",3,3,3,3,3
"07700  Koskenkylän saha-alue (Loviisa)",71,73,76,78,81
"07720  Malmgård (Loviisa)",3,3,3,4,4
"07740  Gammelby (Loviisa)",28,27,31,33,33
"07750  Isnäs (Loviisa)",24,29,30,30,29
"07780  Härkäpää (Loviisa)",10,14,14,13,14
"07800  Lapinjärvi Keskus (Lapinjärvi)",35,40,39,41,43
"07810  Ingermaninkylä (Lapinjärvi)",8,7,9,10,9
"07820  Porlammi (Lapinjärvi)",21,21,23,23,23
"07830  Pukaro (Lapinjärvi)",12,13,15,13,12
"07840  Lindkoski (Lapinjärvi)",9,8,13,13,13
"07850  Heikinkylä (Lapinjärvi)",21,23,23,23,23
"07870  Skinnarby (Loviisa)",30,33,32,29,30
"07880  Liljendal Keskus (Loviisa)",48,47,48,48,51
"07890  Mickelspiltom (Loviisa)",7,5,7,8,9
"07900  Loviisa Keskus (Loviisa)",265,290,293,308,301
"07910  Valko (Loviisa)",44,44,45,49,46
"07920  Etelä-Harju (Loviisa)",65,67,69,77,78
"07930  Pernaja Kirkonkylä (Loviisa)",40,43,43,43,46
"07940  Määrlahti (Loviisa)",41,41,42,52,58
"07945  Kuggom (Loviisa)",22,24,23,26,27
"07955  Tesjoki (Loviisa)",55,57,58,64,66
"07960  Ahvenkoski (Loviisa)",9,10,12,13,13
"07970  Ruotsinpyhtää Keskus (Loviisa)",21,20,25,21,24
"07980  Kuninkaankylä (Loviisa)",10,11,12,14,14
"07990  Ruotsinkylä-Koskisto (Loviisa)",12,12,11,10,10
"08100  Lohja Keskus (Lohja)",617,662,692,724,749
"08150  Keskilohja (Lohja)",406,430,434,443,467
"08200  Ojamo (Lohja)",135,135,149,156,170
"08350  Routio (Lohja)",145,147,158,167,173
"08360  Kisakallio (Lohja)",...,0,0,...,...
"08450  Hormajärvi (Lohja)",19,20,18,20,22
"08480  Karstu (Lohja)",11,10,9,10,12
"08500  Ventelä-Millola (Lohja)",407,414,425,430,438
"08680  Muijala (Lohja)",157,166,175,177,182
"08700  Virkkala (Lohja)",380,380,395,405,414
"08800  Kirkniemi (Lohja)",89,88,90,91,98
"09120  Karjalohja (Lohja)",76,83,92,90,94
"09220  Sammatti (Lohja)",70,77,82,82,86
"09430  Saukkola (Lohja)",78,80,82,83,86
"09520  Millola (Lohja)",4,4,5,4,4
"09630  Koisjärvi (Lohja)",21,22,23,24,26
"09810  Nummi-Oinola (Lohja)",72,70,70,76,81
"09930  Leppäkorpi (Lohja)",16,18,18,16,17
"10120  Tähtelä (Ingå)",48,56,59,57,62
"10140  Päivölä (Ingå)",34,35,34,34,33
"10160  Degerby (Ingå)",85,90,98,97,102
"10210  Inkoo Keskus (Ingå)",273,280,296,316,333
"10230  Inkoo Asemanseutu (Ingå)",37,36,37,36,37
"10250  Fagervik (Ingå)",8,7,8,8,9
"10270  Barösund (Ingå)",12,13,16,16,21
"10300  Karjaa Keskus (Raseborg)",574,599,619,649,667
"10320  Bäljars (Raseborg)",73,71,73,67,76
"10330  Pinjainen (Raseborg)",64,66,62,70,65
"10350  Meltolan sairaala-alue (Raseborg)",...,2,3,3,4
"10360  Mustio (Raseborg)",63,67,68,72,77
"10380  Kaunislahti (Raseborg)",4,4,5,4,4
"10410  Åminnefors (Raseborg)",15,18,23,27,26
"10420  Pohjankuru (Raseborg)",78,87,89,92,94
"10440  Bollsta (Raseborg)",17,20,23,25,24
"10470  Fiskari (Raseborg)",95,97,97,102,99
"10480  Antskog (Raseborg)",11,13,12,12,13
"10520  Tenhola Kirkonkylä (Raseborg)",84,84,87,88,88
"10570  Bromarv (Raseborg)",12,15,18,17,21
"10600  Tammisaari Keskus (Raseborg)",484,503,501,524,531
"10620  Tammisaari (Raseborg)",110,119,124,127,133
"10640  Dragsvik (Raseborg)",86,86,95,89,88
"10650  Flyet (Raseborg)",203,220,233,240,239
"10660  Trollböle (Raseborg)",31,35,32,33,31
"10680  Skogby (Raseborg)",5,6,5,6,5
"10710  Snappertuna (Raseborg)",35,40,38,40,37
"10820  Lappohja (Hanko)",29,26,27,26,26
"10900  Hanko Keskus (Hanko)",208,219,222,236,245
"10940  Hangonkylä (Hanko)",115,117,122,129,136
"10960  Hanko Pohjoinen (Hanko)",76,79,83,84,84
"11100  Riihimäki Keskus (Riihimäki)",437,438,447,459,471
"11120  Pohjois-Riihimäki (Riihimäki)",404,411,419,420,441
"11130  Peltosaari-Patastenmäki (Riihimäki)",628,630,652,673,682
"11310  Taka-Kasarmi (Riihimäki)",46,46,42,37,36
"11710  Herajoki (Riihimäki)",176,182,184,190,198
"11910  Lasi-Kumela (Riihimäki)",131,139,138,145,148
"12100  Oitti (Hausjärvi)",87,91,94,93,97
"12130  Mommila (Hausjärvi)",21,21,21,20,20
"12170  Hietoinen (Hausjärvi)",6,10,11,11,11
"12210  Hausjärvi kk (Hausjärvi)",10,10,8,9,9
"12240  Hikiä (Hausjärvi)",79,78,89,91,101
"12310  Ryttylä (Hausjärvi)",92,97,96,101,105
"12350  Turkhauta (Hausjärvi)",31,34,34,34,33
"12380  Leppäkoski (Janakkala)",17,18,23,23,20
"12400  Tervakoski (Janakkala)",225,231,231,239,233
"12450  Vähikkälä (Janakkala)",14,15,15,14,13
"12520  Kormu (Loppi)",20,20,26,29,29
"12540  Launonen (Loppi)",68,73,72,68,70
"12600  Läyliäinen (Loppi)",53,55,58,63,68
"12630  Sajaniemi (Loppi)",12,11,12,14,14
"12640  Joentaka (Loppi)",17,16,16,15,17
"12700  Loppi kk (Loppi)",93,99,106,111,120
"12750  Pilpala (Loppi)",30,28,31,29,31
"12820  Räyskälä (Loppi)",1,2,1,1,1
"12920  Topeno (Loppi)",11,12,14,15,15
"12950  Vojakkala-Eerolankulma (Loppi)",6,7,7,7,8
"13100  Hämeenlinna Keskus (Hämeenlinna)",1318,1342,1386,1425,1469
"13110  Kantola (Hämeenlinna)",12,10,12,18,19
"13130  Kauriala (Hämeenlinna)",521,545,560,588,603
"13200  Keinusaari (Hämeenlinna)",223,222,240,267,288
"13210  Hätilä (Hämeenlinna)",872,898,904,918,934
"13220  Sairio (Hämeenlinna)",273,288,282,304,323
"13250  Katuma (Hämeenlinna)",48,53,52,55,55
"13270  Ruununmylly (Hämeenlinna)",212,213,230,246,248
"13300  Käikälä (Hämeenlinna)",201,206,217,237,243
"13330  Harviala (Janakkala)",68,80,87,95,107
"13430  Hattelmala (Hämeenlinna)",109,114,116,124,123
"13500  Jukola (Hämeenlinna)",886,925,956,980,987
"13530  Hämeenlinna sairaala-alue (Hämeenlinna)",...,0,0,0,0
"13600  Ojoinen (Hämeenlinna)",208,214,216,220,234
"13700  Parolannummi (Hattula)",32,32,33,34,34
"13720  Parola (Hattula)",273,276,286,285,305
"13800  Katinala (Hattula)",69,73,72,75,77
"13880  Rahkoila (Hattula)",110,114,121,125,126
