"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"05820  Mustamännistö (Hyvinkää)",669,684,668,659,641
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",987,1064,1045,1045,1086
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",424,462,478,510,530
"05850  Hyvinkää, sairaala-alue (Hyvinkää)",0,0,0,0,0
"05860  Talvisilta (Hyvinkää)",220,231,221,221,224
"05880  Paavola-Vaivero (Hyvinkää)",895,884,885,942,924
"05900  Vieremä (Hyvinkää)",1117,1127,1163,1133,1156
"05950  Ridasjärvi (Hyvinkää)",19,19,19,21,17
"06100  Porvoo Keskus (Porvoo)",3990,4060,4115,4187,4154
"06150  Kevätkumpu (Porvoo)",1237,1387,1441,1443,1493
"06200  Porvoo itäinen (Porvoo)",64,72,65,50,58
"06400  Gammelbacka (Porvoo)",1572,1619,1626,1575,1629
"06450  Eestinmäki-Ernestas (Porvoo)",230,234,220,222,237
"06500  Saksala-Suomenkylä (Porvoo)",30,29,33,27,27
"06530  Kerkkoo (Porvoo)",18,19,21,22,21
"06650  Hamari (Porvoo)",118,112,107,110,107
"06750  Tolkkinen (Porvoo)",83,85,83,82,71
"06830  Kulloonkylä (Porvoo)",24,22,21,22,23
"06850  Kulloo (Porvoo)",...,...,...,...,...
"06880  Kärrby (Sipoo)",11,8,9,10,8
"06950  Emäsalo (Porvoo)",10,13,9,9,10
"07110  Hinthaara (Porvoo)",34,30,29,29,28
"07130  Anttila (Porvoo)",6,8,6,6,5
"07150  Laukkoski (Pornainen)",18,17,17,15,17
"07170  Keski-Pornainen (Pornainen)",144,146,142,144,148
"07190  Halkia (Pornainen)",16,17,17,18,17
"07220  Kaarenkylä (Porvoo)",6,6,7,6,7
"07230  Monninkylä (Askola)",109,113,108,108,104
"07280  Ilola (Porvoo)",18,15,15,14,16
"07310  Sannainen (Porvoo)",4,5,4,4,4
"07320  Jakari-Sannäs (Porvoo)",4,4,7,5,3
"07350  Gäddrag (Porvoo)",2,2,2,2,2
"07360  Tirmo (Porvoo)",...,...,...,...,...
"07370  Pellinki (Porvoo)",3,3,3,3,2
"07390  Suurpellinki (Porvoo)",3,4,2,4,4
"07410  Kråkö (Porvoo)",2,2,1,0,0
"07450  Voolahti (Porvoo)",12,10,15,14,16
"07500  Askola Kirkonkylä (Askola)",114,106,102,103,103
"07510  Vakkola (Askola)",30,38,35,34,31
"07530  Onkimaa (Askola)",2,1,0,1,1
"07550  Torpinkylä (Pukkila)",11,10,9,9,9
"07560  Pukkila Keskus (Pukkila)",127,128,122,124,121
"07565  Kantele (Pukkila)",7,7,6,6,6
"07580  Tiilää (Askola)",0,0,0,0,1
"07590  Huuvari-Tiilää (Askola)",13,12,13,11,10
"07600  Myrskylä Keskus (Myrskylä)",149,140,135,119,125
"07680  Juornaankylä (Askola)",19,19,22,16,17
"07690  Kankkila (Myrskylä)",8,9,10,9,8
"07700  Koskenkylän saha-alue (Loviisa)",155,152,152,144,136
"07720  Malmgård (Loviisa)",3,5,4,4,2
"07740  Gammelby (Loviisa)",14,12,14,14,15
"07750  Isnäs (Loviisa)",45,45,47,44,43
"07780  Härkäpää (Loviisa)",8,12,7,11,6
"07800  Lapinjärvi Keskus (Lapinjärvi)",162,162,166,158,158
"07810  Ingermaninkylä (Lapinjärvi)",23,18,19,13,15
"07820  Porlammi (Lapinjärvi)",42,42,37,35,35
"07830  Pukaro (Lapinjärvi)",21,19,24,22,19
"07840  Lindkoski (Lapinjärvi)",3,3,3,4,3
"07850  Heikinkylä (Lapinjärvi)",11,10,7,8,6
"07870  Skinnarby (Loviisa)",6,12,7,5,4
"07880  Liljendal Keskus (Loviisa)",101,108,104,100,98
"07890  Mickelspiltom (Loviisa)",7,6,8,6,7
"07900  Loviisa Keskus (Loviisa)",787,808,799,784,773
"07910  Valko (Loviisa)",125,123,114,127,129
"07920  Etelä-Harju (Loviisa)",144,157,155,149,148
"07930  Pernaja Kirkonkylä (Loviisa)",66,66,69,72,70
"07940  Määrlahti (Loviisa)",302,296,303,314,321
"07945  Kuggom (Loviisa)",26,24,22,20,20
"07955  Tesjoki (Loviisa)",111,112,108,99,98
"07960  Ahvenkoski (Loviisa)",4,3,3,2,3
"07970  Ruotsinpyhtää Keskus (Loviisa)",82,85,85,79,89
"07980  Kuninkaankylä (Loviisa)",23,24,23,20,23
"07990  Ruotsinkylä-Koskisto (Loviisa)",8,6,7,8,5
"08100  Lohja Keskus (Lohja)",1768,1988,2036,2042,2066
"08150  Keskilohja (Lohja)",592,650,646,628,670
"08200  Ojamo (Lohja)",977,990,992,996,1001
"08350  Routio (Lohja)",422,417,418,430,412
"08360  Kisakallio (Lohja)",...,0,0,...,...
"08450  Hormajärvi (Lohja)",23,21,18,17,17
"08480  Karstu (Lohja)",4,3,4,6,7
"08500  Ventelä-Millola (Lohja)",599,604,595,595,577
"08680  Muijala (Lohja)",98,88,102,102,98
"08700  Virkkala (Lohja)",937,973,950,962,956
"08800  Kirkniemi (Lohja)",80,68,69,67,70
