"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2021 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, three-room flat+"
"07920  Etelä-Harju (Loviisa)",.,...,...,.,3,5
"07930  Pernaja Kirkonkylä (Loviisa)",.,.,.,.,.,.
"07940  Määrlahti (Loviisa)",.,745,...,.,9,3
"07955  Tesjoki (Loviisa)",.,.,.,.,.,.
"07960  Ahvenkoski (Loviisa)",.,.,.,.,.,.
"07970  Ruotsinpyhtää Keskus (Loviisa)",.,.,.,.,.,.
"07990  Ruotsinkylä-Koskisto (Loviisa)",.,.,.,.,.,.
"08100  Lohja Keskus (Lohja)",2509,2543,2213,42,92,51
"08150  Keskilohja (Lohja)",...,2108,...,1,12,3
"08200  Ojamo (Lohja)",1584,1328,1138,15,81,55
"08350  Routio (Lohja)",...,1396,1347,4,10,8
"08450  Hormajärvi (Lohja)",...,...,.,1,1,.
"08500  Ventelä-Millola (Lohja)",...,1648,...,1,6,4
"08680  Muijala (Lohja)",...,...,.,3,4,.
"08700  Virkkala (Lohja)",1335,1074,1028,11,36,31
"08800  Kirkniemi (Lohja)",.,...,...,.,1,2
"09120  Karjalohja (Lohja)",...,...,.,1,1,.
"09220  Sammatti (Lohja)",.,.,.,.,.,.
"09430  Saukkola (Lohja)",.,.,.,.,.,.
"09630  Koisjärvi (Lohja)",.,.,.,.,.,.
"09810  Nummi-Oinola (Lohja)",...,...,.,3,1,.
"10120  Tähtelä (Ingå)",.,.,.,.,.,.
"10140  Päivölä (Ingå)",.,.,.,.,.,.
"10210  Inkoo Keskus (Ingå)",...,1310,...,5,10,4
"10300  Karjaa Keskus (Raasepori)",1436,1485,1469,12,34,30
"10320  Bäljars (Raasepori)",...,...,...,1,3,1
"10330  Pinjainen (Raasepori)",.,.,.,.,.,.
"10350  Meltolan sairaala-alue (Raasepori)",.,.,.,.,.,.
"10360  Mustio (Raasepori)",.,.,.,.,.,.
"10410  Åminnefors (Raasepori)",...,.,.,1,.,.
"10420  Pohjankuru (Raasepori)",...,1020,...,3,12,4
"10440  Bollsta (Raasepori)",.,.,.,.,.,.
"10470  Fiskari (Raasepori)",.,.,.,.,.,.
"10520  Tenhola Kirkonkylä (Raasepori)",.,.,.,.,.,.
"10570  Bromarv (Raasepori)",.,.,.,.,.,.
"10600  Tammisaari Keskus (Raasepori)",1925,2206,2145,20,45,41
"10620  Tammisaari (Raasepori)",...,...,...,2,2,4
"10640  Dragsvik (Raasepori)",...,...,...,1,2,3
"10650  Flyet (Raasepori)",...,1209,1029,3,12,14
"10660  Trollböle (Raasepori)",...,...,...,2,2,2
"10680  Skogby (Raasepori)",.,.,.,.,.,.
"10710  Snappertuna (Raasepori)",.,.,.,.,.,.
"10820  Lappohja (Hanko)",...,608,...,1,8,3
"10900  Hanko Keskus (Hanko)",1927,1903,1737,25,74,55
"10940  Hangonkylä (Hanko)",...,...,.,3,1,.
"10960  Hanko Pohjoinen (Hanko)",...,...,...,1,1,1
"11100  Riihimäki Keskus (Riihimäki)",1948,1675,1574,47,94,78
"11120  Pohjois-Riihimäki (Riihimäki)",1404,1192,1034,16,29,19
"11130  Peltosaari-Patastenmäki (Riihimäki)",1514,1787,1567,18,29,25
"11310  Taka-Kasarmi (Riihimäki)",.,...,...,.,4,5
"11710  Herajoki (Riihimäki)",.,...,...,.,3,4
"11910  Lasi-Kumela (Riihimäki)",...,...,...,2,5,2
"12100  Oitti (Hausjärvi)",.,.,.,.,.,.
"12130  Mommila (Hausjärvi)",.,.,.,.,.,.
"12240  Hikiä (Hausjärvi)",.,.,...,.,.,1
"12310  Ryttylä (Hausjärvi)",.,.,.,.,.,.
"12380  Leppäkoski (Janakkala)",.,...,.,.,1,.
"12400  Tervakoski (Janakkala)",845,772,...,9,11,5
"12520  Kormu (Loppi)",.,.,.,.,.,.
"12540  Launonen (Loppi)",.,.,.,.,.,.
"12600  Läyliäinen (Loppi)",.,...,.,.,1,.
"12700  Loppi kk (Loppi)",.,1110,...,.,13,3
"12750  Pilpala (Loppi)",.,.,.,.,.,.
"13100  Hämeenlinna Keskus (Hämeenlinna)",2590,2248,2013,82,122,85
"13110  Kantola (Hämeenlinna)",...,.,.,1,.,.
"13130  Kauriala (Hämeenlinna)",1897,1921,1587,37,57,34
"13200  Keinusaari (Hämeenlinna)",2430,2087,2073,11,24,18
"13210  Hätilä (Hämeenlinna)",1931,1650,1627,33,48,28
"13220  Sairio (Hämeenlinna)",...,2117,3015,1,7,6
"13250  Katuma (Hämeenlinna)",...,1398,1030,2,11,6
"13270  Ruununmylly (Hämeenlinna)",.,...,...,.,1,1
"13300  Käikälä (Hämeenlinna)",.,.,.,.,.,.
"13330  Harviala (Janakkala)",.,.,.,.,.,.
"13430  Hattelmala (Hämeenlinna)",.,.,.,.,.,.
"13500  Jukola (Hämeenlinna)",1523,936,943,9,12,18
"13600  Ojoinen (Hämeenlinna)",1304,1104,1056,7,14,10
"13700  Parolannummi (Hattula)",.,...,...,.,1,1
"13720  Parola (Hattula)",...,...,...,2,1,3
"13800  Katinala (Hattula)",.,...,.,.,2,.
"13880  Rahkoila (Hattula)",.,...,...,.,1,1
"13900  Pekola (Hattula)",.,.,.,.,.,.
"14200  Turenki (Janakkala)",1397,1267,1075,12,20,11
"14300  Renko kk (Hämeenlinna)",.,...,.,.,3,.
"14500  Iittala (Hämeenlinna)",...,...,.,1,3,.
"14610  Lepaa (Hattula)",.,.,.,.,.,.
"14680  Alvettula (Hämeenlinna)",.,.,.,.,.,.
"14700  Hauho kk (Hämeenlinna)",...,...,...,1,6,1
"14770  Eteläinen (Hämeenlinna)",.,.,.,.,.,.
"14820  Syrjäntaka (Hämeenlinna)",.,.,.,.,.,.
"14870  Juttila (Hämeenlinna)",.,.,.,.,.,.
"14960  Puutikkala (Pälkäne)",.,.,.,.,.,.
"15100  Lahti Asemanseutu (Lahti)",2410,2250,2188,31,49,26
